,m,r,5
0,0.0,0.0,0.16000000000000003
1,0.0,1.0,0.16349999999999998
2,0.0,2.0,0.16649999999999998
3,0.0,3.0,0.15500000000000003
4,0.0,4.0,0.15149999999999997
5,0.0,5.0,0.15300000000000002
6,0.0,6.0,0.15949999999999998
7,0.0,7.0,0.16500000000000004
8,0.0,8.0,0.15949999999999998
9,0.0,9.0,0.16649999999999998
10,1.0,0.0,0.14849999999999997
11,1.0,1.0,0.15700000000000003
12,1.0,2.0,0.14449999999999996
13,1.0,3.0,0.14849999999999997
14,1.0,4.0,0.14
15,1.0,5.0,0.14600000000000002
16,1.0,6.0,0.15249999999999997
17,1.0,7.0,0.13749999999999996
18,1.0,8.0,0.131
19,1.0,9.0,0.14349999999999996
20,2.0,0.0,0.13949999999999996
21,2.0,1.0,0.14349999999999996
22,2.0,2.0,0.14200000000000002
23,2.0,3.0,0.14049999999999996
24,2.0,4.0,0.134
25,2.0,5.0,0.14149999999999996
26,2.0,6.0,0.14300000000000002
27,2.0,7.0,0.13849999999999996
28,2.0,8.0,0.13149999999999995
29,2.0,9.0,0.14
30,3.0,0.0,0.121
31,3.0,1.0,0.13549999999999995
32,3.0,2.0,0.122
33,3.0,3.0,0.124
34,3.0,4.0,0.126
35,3.0,5.0,0.13549999999999995
36,3.0,6.0,0.11399999999999999
37,3.0,7.0,0.136
38,3.0,8.0,0.123
39,3.0,9.0,0.12849999999999995
40,4.0,0.0,0.12649999999999995
41,4.0,1.0,0.13349999999999995
42,4.0,2.0,0.137
43,4.0,3.0,0.13
44,4.0,4.0,0.128
45,4.0,5.0,0.13149999999999995
46,4.0,6.0,0.135
47,4.0,7.0,0.138
48,4.0,8.0,0.135
49,4.0,9.0,0.13849999999999996
50,5.0,0.0,0.13549999999999995
51,5.0,1.0,0.11699999999999999
52,5.0,2.0,0.13949999999999996
53,5.0,3.0,0.13149999999999995
54,5.0,4.0,0.12450000000000006
55,5.0,5.0,0.12849999999999995
56,5.0,6.0,0.131
57,5.0,7.0,0.13149999999999995
58,5.0,8.0,0.129
59,5.0,9.0,0.12749999999999995
60,10.0,0.0,0.124
61,10.0,1.0,0.128
62,10.0,2.0,0.13149999999999995
63,10.0,3.0,0.12949999999999995
64,10.0,4.0,0.129
65,10.0,5.0,0.136
66,10.0,6.0,0.13649999999999995
67,10.0,7.0,0.13849999999999996
68,10.0,8.0,0.125
69,10.0,9.0,0.12849999999999995
70,20.0,0.0,0.128
71,20.0,1.0,0.123
72,20.0,2.0,0.13449999999999995
73,20.0,3.0,0.125
74,20.0,4.0,0.13549999999999995
75,20.0,5.0,0.13349999999999995
76,20.0,6.0,0.12549999999999994
77,20.0,7.0,0.13649999999999995
78,20.0,8.0,0.128
79,20.0,9.0,0.13049999999999995
