,m,r,5
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,1.0,0.0,0.32599999999999996
11,1.0,1.0,0.3145
12,1.0,2.0,0.32499999999999996
13,1.0,3.0,0.34099999999999997
14,1.0,4.0,0.32799999999999996
15,1.0,5.0,0.32599999999999996
16,1.0,6.0,0.3235
17,1.0,7.0,0.3335
18,1.0,8.0,0.31699999999999995
19,1.0,9.0,0.3205
20,2.0,0.0,0.31599999999999995
21,2.0,1.0,0.31200000000000006
22,2.0,2.0,0.32099999999999995
23,2.0,3.0,0.3135
24,2.0,4.0,0.3325
25,2.0,5.0,0.3025
26,2.0,6.0,0.32799999999999996
27,2.0,7.0,0.3125
28,2.0,8.0,0.30500000000000005
29,2.0,9.0,0.3225
30,3.0,0.0,0.3105
31,3.0,1.0,0.3095
32,3.0,2.0,0.3205
33,3.0,3.0,0.31599999999999995
34,3.0,4.0,0.3105
35,3.0,5.0,0.33099999999999996
36,3.0,6.0,0.30800000000000005
37,3.0,7.0,0.32299999999999995
38,3.0,8.0,0.31599999999999995
39,3.0,9.0,0.3175
40,4.0,0.0,0.3175
41,4.0,1.0,0.32499999999999996
42,4.0,2.0,0.32199999999999995
43,4.0,3.0,0.3145
44,4.0,4.0,0.3205
45,4.0,5.0,0.3195
46,4.0,6.0,0.33899999999999997
47,4.0,7.0,0.3315
48,4.0,8.0,0.3365
49,4.0,9.0,0.31799999999999995
50,5.0,0.0,0.3415
51,5.0,1.0,0.3425
52,5.0,2.0,0.3285
53,5.0,3.0,0.3265
54,5.0,4.0,0.3315
55,5.0,5.0,0.3335
56,5.0,6.0,0.3365
57,5.0,7.0,0.3245
58,5.0,8.0,0.33499999999999996
59,5.0,9.0,0.3375
60,10.0,0.0,0.35550000000000004
61,10.0,1.0,0.351
62,10.0,2.0,0.344
63,10.0,3.0,0.355
64,10.0,4.0,0.363
65,10.0,5.0,0.349
66,10.0,6.0,0.362
67,10.0,7.0,0.33899999999999997
68,10.0,8.0,0.346
69,10.0,9.0,0.35050000000000003
70,20.0,0.0,0.34850000000000003
71,20.0,1.0,0.371
72,20.0,2.0,0.35250000000000004
73,20.0,3.0,0.34950000000000003
74,20.0,4.0,0.351
75,20.0,5.0,0.355
76,20.0,6.0,0.34199999999999997
77,20.0,7.0,0.351
78,20.0,8.0,0.36950000000000005
79,20.0,9.0,0.35650000000000004
