,m,r,3
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,1.0,0.0,0.3065
11,1.0,1.0,0.31799999999999995
12,1.0,2.0,0.3125
13,1.0,3.0,0.29700000000000004
14,1.0,4.0,0.3135
15,1.0,5.0,0.3095
16,1.0,6.0,0.31599999999999995
17,1.0,7.0,0.30800000000000005
18,1.0,8.0,0.32099999999999995
19,1.0,9.0,0.3165
20,2.0,0.0,0.31100000000000005
21,2.0,1.0,0.3015
22,2.0,2.0,0.30700000000000005
23,2.0,3.0,0.30300000000000005
24,2.0,4.0,0.3145
25,2.0,5.0,0.3145
26,2.0,6.0,0.3145
27,2.0,7.0,0.30300000000000005
28,2.0,8.0,0.3105
29,2.0,9.0,0.32399999999999995
30,3.0,0.0,0.32599999999999996
31,3.0,1.0,0.3165
32,3.0,2.0,0.3285
33,3.0,3.0,0.29700000000000004
34,3.0,4.0,0.33499999999999996
35,3.0,5.0,0.30900000000000005
36,3.0,6.0,0.30400000000000005
37,3.0,7.0,0.32099999999999995
38,3.0,8.0,0.31999999999999995
39,3.0,9.0,0.30600000000000005
40,4.0,0.0,0.2935
41,4.0,1.0,0.31200000000000006
42,4.0,2.0,0.31000000000000005
43,4.0,3.0,0.31599999999999995
44,4.0,4.0,0.3095
45,4.0,5.0,0.3285
46,4.0,6.0,0.3175
47,4.0,7.0,0.3145
48,4.0,8.0,0.3205
49,4.0,9.0,0.3165
50,5.0,0.0,0.3255
51,5.0,1.0,0.3195
52,5.0,2.0,0.3235
53,5.0,3.0,0.3245
54,5.0,4.0,0.31499999999999995
55,5.0,5.0,0.3185
56,5.0,6.0,0.31100000000000005
57,5.0,7.0,0.30600000000000005
58,5.0,8.0,0.3205
59,5.0,9.0,0.3155
60,10.0,0.0,0.3055
61,10.0,1.0,0.29200000000000004
62,10.0,2.0,0.3055
63,10.0,3.0,0.3045
64,10.0,4.0,0.33099999999999996
65,10.0,5.0,0.30800000000000005
66,10.0,6.0,0.32399999999999995
67,10.0,7.0,0.30800000000000005
68,10.0,8.0,0.3195
69,10.0,9.0,0.2985
70,20.0,0.0,0.3015
71,20.0,1.0,0.3045
72,20.0,2.0,0.30400000000000005
73,20.0,3.0,0.3075
74,20.0,4.0,0.30300000000000005
75,20.0,5.0,0.3045
76,20.0,6.0,0.30200000000000005
77,20.0,7.0,0.3045
78,20.0,8.0,0.3035
79,20.0,9.0,0.31000000000000005
