,m,r,5,5_alpha
0,0.0,0.0,0.16000000000000003,0.5
1,0.0,1.0,0.16349999999999998,0.5
2,0.0,2.0,0.16649999999999998,0.5
3,0.0,3.0,0.15500000000000003,0.5
4,0.0,4.0,0.15149999999999997,0.5
5,0.0,5.0,0.15300000000000002,0.5
6,0.0,6.0,0.15949999999999998,0.5
7,0.0,7.0,0.16500000000000004,0.5
8,0.0,8.0,0.15949999999999998,0.5
9,0.0,9.0,0.16649999999999998,0.5
10,1.0,0.0,0.132,0.9400000000000001
11,1.0,1.0,0.139,0.9400000000000001
12,1.0,2.0,0.12450000000000006,0.9400000000000001
13,1.0,3.0,0.129,0.9400000000000001
14,1.0,4.0,0.137,0.9400000000000001
15,1.0,5.0,0.12250000000000005,0.9400000000000001
16,1.0,6.0,0.132,0.9400000000000001
17,1.0,7.0,0.12649999999999995,0.9400000000000001
18,1.0,8.0,0.136,0.9400000000000001
19,1.0,9.0,0.13549999999999995,0.9400000000000001
20,2.0,0.0,0.12749999999999995,0.9466666666666668
21,2.0,1.0,0.13249999999999995,0.9466666666666668
22,2.0,2.0,0.13149999999999995,0.9466666666666668
23,2.0,3.0,0.127,0.9466666666666668
24,2.0,4.0,0.12250000000000005,0.9466666666666668
25,2.0,5.0,0.13,0.9466666666666668
26,2.0,6.0,0.11750000000000005,0.9466666666666668
27,2.0,7.0,0.12849999999999995,0.9466666666666668
28,2.0,8.0,0.123,0.9466666666666668
29,2.0,9.0,0.11950000000000005,0.9466666666666668
30,3.0,0.0,0.131,0.9644444444444445
31,3.0,1.0,0.13449999999999995,0.9644444444444445
32,3.0,2.0,0.14500000000000002,0.9644444444444445
33,3.0,3.0,0.139,0.9644444444444445
34,3.0,4.0,0.16249999999999998,0.9644444444444445
35,3.0,5.0,0.15649999999999997,0.9644444444444445
36,3.0,6.0,0.139,0.9644444444444445
37,3.0,7.0,0.16549999999999998,0.9644444444444445
38,3.0,8.0,0.13049999999999995,0.9644444444444445
39,3.0,9.0,0.13749999999999996,0.9644444444444445
40,4.0,0.0,0.12849999999999995,0.9762962962962963
41,4.0,1.0,0.12350000000000005,0.9762962962962963
42,4.0,2.0,0.12350000000000005,0.9762962962962963
43,4.0,3.0,0.131,0.9762962962962963
44,4.0,4.0,0.123,0.9762962962962963
45,4.0,5.0,0.123,0.9762962962962963
46,4.0,6.0,0.119,0.9762962962962963
47,4.0,7.0,0.131,0.9762962962962963
48,4.0,8.0,0.127,0.9762962962962963
49,4.0,9.0,0.12150000000000005,0.9762962962962963
50,5.0,0.0,0.11250000000000004,0.9762962962962963
51,5.0,1.0,0.118,0.9762962962962963
52,5.0,2.0,0.11850000000000005,0.9762962962962963
53,5.0,3.0,0.12150000000000005,0.9762962962962963
54,5.0,4.0,0.13149999999999995,0.9762962962962963
55,5.0,5.0,0.13149999999999995,0.9762962962962963
56,5.0,6.0,0.127,0.9762962962962963
57,5.0,7.0,0.136,0.9762962962962963
58,5.0,8.0,0.11299999999999999,0.9762962962962963
59,5.0,9.0,0.13449999999999995,0.9762962962962963
60,10.0,0.0,0.12749999999999995,0.9868312757201646
61,10.0,1.0,0.12350000000000005,0.9868312757201646
62,10.0,2.0,0.119,0.9868312757201646
63,10.0,3.0,0.126,0.9868312757201646
64,10.0,4.0,0.13,0.9868312757201646
65,10.0,5.0,0.12949999999999995,0.9868312757201646
66,10.0,6.0,0.127,0.9868312757201646
67,10.0,7.0,0.12549999999999994,0.9868312757201646
68,10.0,8.0,0.13,0.9868312757201646
69,10.0,9.0,0.13249999999999995,0.9868312757201646
70,20.0,0.0,0.14149999999999996,0.9868312757201646
71,20.0,1.0,0.133,0.9868312757201646
72,20.0,2.0,0.13549999999999995,0.9868312757201646
73,20.0,3.0,0.14300000000000002,0.9868312757201646
74,20.0,4.0,0.14100000000000001,0.9868312757201646
75,20.0,5.0,0.14800000000000002,0.9868312757201646
76,20.0,6.0,0.14700000000000002,0.9868312757201646
77,20.0,7.0,0.13949999999999996,0.9868312757201646
78,20.0,8.0,0.15549999999999997,0.9868312757201646
79,20.0,9.0,0.14549999999999996,0.9868312757201646
