,m,r,3,3_alpha
0,0.0,0.0,0.3255,0.5
1,0.0,1.0,0.31499999999999995,0.5
2,0.0,2.0,0.30700000000000005,0.5
3,0.0,3.0,0.3335,0.5
4,0.0,4.0,0.3155,0.5
5,0.0,5.0,0.3245,0.5
6,0.0,6.0,0.32299999999999995,0.5
7,0.0,7.0,0.3085,0.5
8,0.0,8.0,0.31200000000000006,0.5
9,0.0,9.0,0.3235,0.5
10,1.0,0.0,0.3225,0.9500000000000001
11,1.0,1.0,0.29400000000000004,0.9500000000000001
12,1.0,2.0,0.31499999999999995,0.9500000000000001
13,1.0,3.0,0.31599999999999995,0.9500000000000001
14,1.0,4.0,0.31399999999999995,0.9500000000000001
15,1.0,5.0,0.3195,0.9500000000000001
16,1.0,6.0,0.3175,0.9500000000000001
17,1.0,7.0,0.31499999999999995,0.9500000000000001
18,1.0,8.0,0.3115,0.9500000000000001
19,1.0,9.0,0.3125,0.9500000000000001
20,2.0,0.0,0.30300000000000005,0.9657894736842105
21,2.0,1.0,0.3125,0.9657894736842105
22,2.0,2.0,0.3235,0.9657894736842105
23,2.0,3.0,0.3085,0.9657894736842105
24,2.0,4.0,0.32999999999999996,0.9657894736842105
25,2.0,5.0,0.3175,0.9657894736842105
26,2.0,6.0,0.3225,0.9657894736842105
27,2.0,7.0,0.3105,0.9657894736842105
28,2.0,8.0,0.30600000000000005,0.9657894736842105
29,2.0,9.0,0.3205,0.9657894736842105
30,3.0,0.0,0.3165,0.978393351800554
31,3.0,1.0,0.32599999999999996,0.978393351800554
32,3.0,2.0,0.3145,0.978393351800554
33,3.0,3.0,0.33299999999999996,0.978393351800554
34,3.0,4.0,0.31599999999999995,0.978393351800554
35,3.0,5.0,0.30200000000000005,0.978393351800554
36,3.0,6.0,0.30300000000000005,0.978393351800554
37,3.0,7.0,0.3155,0.978393351800554
38,3.0,8.0,0.31399999999999995,0.978393351800554
39,3.0,9.0,0.31299999999999994,0.978393351800554
40,4.0,0.0,0.32699999999999996,0.9863536958740341
41,4.0,1.0,0.3295,0.9863536958740341
42,4.0,2.0,0.31899999999999995,0.9863536958740341
43,4.0,3.0,0.31799999999999995,0.9863536958740341
44,4.0,4.0,0.3065,0.9863536958740341
45,4.0,5.0,0.3215,0.9863536958740341
46,4.0,6.0,0.32299999999999995,0.9863536958740341
47,4.0,7.0,0.32599999999999996,0.9863536958740341
48,4.0,8.0,0.31799999999999995,0.9863536958740341
49,4.0,9.0,0.32999999999999996,0.9863536958740341
50,5.0,0.0,0.3225,0.9913812816046531
51,5.0,1.0,0.31599999999999995,0.9913812816046531
52,5.0,2.0,0.2975,0.9913812816046531
53,5.0,3.0,0.3215,0.9913812816046531
54,5.0,4.0,0.3215,0.9913812816046531
55,5.0,5.0,0.3255,0.9913812816046531
56,5.0,6.0,0.31499999999999995,0.9913812816046531
57,5.0,7.0,0.3185,0.9913812816046531
58,5.0,8.0,0.32499999999999996,0.9913812816046531
59,5.0,9.0,0.30400000000000005,0.9913812816046531
60,10.0,0.0,0.31000000000000005,0.9922885151199528
61,10.0,1.0,0.31599999999999995,0.9922885151199528
62,10.0,2.0,0.31499999999999995,0.9922885151199528
63,10.0,3.0,0.3075,0.9922885151199528
64,10.0,4.0,0.32099999999999995,0.9922885151199528
65,10.0,5.0,0.30800000000000005,0.9922885151199528
66,10.0,6.0,0.3165,0.9922885151199528
67,10.0,7.0,0.3175,0.9922885151199528
68,10.0,8.0,0.31699999999999995,0.9922885151199528
69,10.0,9.0,0.31000000000000005,0.9922885151199528
70,20.0,0.0,0.31499999999999995,0.9951295884968122
71,20.0,1.0,0.3305,0.9951295884968122
72,20.0,2.0,0.3225,0.9951295884968122
73,20.0,3.0,0.31299999999999994,0.9951295884968122
74,20.0,4.0,0.3205,0.9951295884968122
75,20.0,5.0,0.3105,0.9951295884968122
76,20.0,6.0,0.3305,0.9951295884968122
77,20.0,7.0,0.3205,0.9951295884968122
78,20.0,8.0,0.31799999999999995,0.9951295884968122
79,20.0,9.0,0.3235,0.9951295884968122
