,m,r,1
0,0.0,0.0,0.2005
1,0.0,1.0,0.2015
2,0.0,2.0,0.20550000000000002
3,0.0,3.0,0.20199999999999996
4,0.0,4.0,0.1925
5,0.0,5.0,0.20099999999999996
6,0.0,6.0,0.19299999999999995
7,0.0,7.0,0.20399999999999996
8,0.0,8.0,0.22250000000000003
9,0.0,9.0,0.1835
10,1.0,0.0,0.1995
11,1.0,1.0,0.1985
12,1.0,2.0,0.1955
13,1.0,3.0,0.20499999999999996
14,1.0,4.0,0.1955
15,1.0,5.0,0.20199999999999996
16,1.0,6.0,0.21050000000000002
17,1.0,7.0,0.20450000000000002
18,1.0,8.0,0.2005
19,1.0,9.0,0.1995
20,2.0,0.0,0.1865
21,2.0,1.0,0.20899999999999996
22,2.0,2.0,0.1995
23,2.0,3.0,0.19899999999999995
24,2.0,4.0,0.20099999999999996
25,2.0,5.0,0.20999999999999996
26,2.0,6.0,0.19899999999999995
27,2.0,7.0,0.2025
28,2.0,8.0,0.21250000000000002
29,2.0,9.0,0.20499999999999996
30,3.0,0.0,0.21150000000000002
31,3.0,1.0,0.1935
32,3.0,2.0,0.20599999999999996
33,3.0,3.0,0.21050000000000002
34,3.0,4.0,0.2015
35,3.0,5.0,0.21299999999999997
36,3.0,6.0,0.20450000000000002
37,3.0,7.0,0.20499999999999996
38,3.0,8.0,0.19199999999999995
39,3.0,9.0,0.20299999999999996
40,4.0,0.0,0.2015
41,4.0,1.0,0.19799999999999995
42,4.0,2.0,0.19699999999999995
43,4.0,3.0,0.20199999999999996
44,4.0,4.0,0.20599999999999996
45,4.0,5.0,0.21150000000000002
46,4.0,6.0,0.19999999999999996
47,4.0,7.0,0.1925
48,4.0,8.0,0.20299999999999996
49,4.0,9.0,0.20850000000000002
50,5.0,0.0,0.1985
51,5.0,1.0,0.1945
52,5.0,2.0,0.20450000000000002
53,5.0,3.0,0.19599999999999995
54,5.0,4.0,0.2025
55,5.0,5.0,0.19899999999999995
56,5.0,6.0,0.1875
57,5.0,7.0,0.2005
58,5.0,8.0,0.1985
59,5.0,9.0,0.1915
60,10.0,0.0,0.1885
61,10.0,1.0,0.20350000000000001
62,10.0,2.0,0.1995
63,10.0,3.0,0.1965
64,10.0,4.0,0.1905
65,10.0,5.0,0.19299999999999995
66,10.0,6.0,0.19599999999999995
67,10.0,7.0,0.1935
68,10.0,8.0,0.19599999999999995
69,10.0,9.0,0.1965
70,20.0,0.0,0.2005
71,20.0,1.0,0.19699999999999995
72,20.0,2.0,0.20350000000000001
73,20.0,3.0,0.2005
74,20.0,4.0,0.1995
75,20.0,5.0,0.20450000000000002
76,20.0,6.0,0.20850000000000002
77,20.0,7.0,0.20350000000000001
78,20.0,8.0,0.21050000000000002
79,20.0,9.0,0.2005
