,m,r,3
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,1.0,0.0,0.3155
11,1.0,1.0,0.3165
12,1.0,2.0,0.32299999999999995
13,1.0,3.0,0.3115
14,1.0,4.0,0.31699999999999995
15,1.0,5.0,0.31499999999999995
16,1.0,6.0,0.3235
17,1.0,7.0,0.31699999999999995
18,1.0,8.0,0.30900000000000005
19,1.0,9.0,0.31299999999999994
20,2.0,0.0,0.3225
21,2.0,1.0,0.30800000000000005
22,2.0,2.0,0.3105
23,2.0,3.0,0.30400000000000005
24,2.0,4.0,0.3295
25,2.0,5.0,0.31499999999999995
26,2.0,6.0,0.31599999999999995
27,2.0,7.0,0.3025
28,2.0,8.0,0.32299999999999995
29,2.0,9.0,0.3315
30,3.0,0.0,0.3125
31,3.0,1.0,0.32299999999999995
32,3.0,2.0,0.32399999999999995
33,3.0,3.0,0.32399999999999995
34,3.0,4.0,0.32199999999999995
35,3.0,5.0,0.32399999999999995
36,3.0,6.0,0.3415
37,3.0,7.0,0.3125
38,3.0,8.0,0.32399999999999995
39,3.0,9.0,0.30400000000000005
40,4.0,0.0,0.3165
41,4.0,1.0,0.3195
42,4.0,2.0,0.3405
43,4.0,3.0,0.31299999999999994
44,4.0,4.0,0.31899999999999995
45,4.0,5.0,0.3305
46,4.0,6.0,0.3185
47,4.0,7.0,0.31699999999999995
48,4.0,8.0,0.31799999999999995
49,4.0,9.0,0.31499999999999995
50,5.0,0.0,0.3225
51,5.0,1.0,0.3145
52,5.0,2.0,0.31499999999999995
53,5.0,3.0,0.32099999999999995
54,5.0,4.0,0.3205
55,5.0,5.0,0.3085
56,5.0,6.0,0.3175
57,5.0,7.0,0.31299999999999994
58,5.0,8.0,0.3265
59,5.0,9.0,0.31000000000000005
60,10.0,0.0,0.3265
61,10.0,1.0,0.3255
62,10.0,2.0,0.32499999999999996
63,10.0,3.0,0.3205
64,10.0,4.0,0.3175
65,10.0,5.0,0.3285
66,10.0,6.0,0.3235
67,10.0,7.0,0.32199999999999995
68,10.0,8.0,0.32899999999999996
69,10.0,9.0,0.31999999999999995
70,20.0,0.0,0.345
71,20.0,1.0,0.34550000000000003
72,20.0,2.0,0.34099999999999997
73,20.0,3.0,0.3365
74,20.0,4.0,0.34550000000000003
75,20.0,5.0,0.3345
76,20.0,6.0,0.34299999999999997
77,20.0,7.0,0.34750000000000003
78,20.0,8.0,0.348
79,20.0,9.0,0.3385
