,m,r,4
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,1.0,0.0,0.39049999999999996
11,1.0,1.0,0.393
12,1.0,2.0,0.39
13,1.0,3.0,0.4105
14,1.0,4.0,0.391
15,1.0,5.0,0.403
16,1.0,6.0,0.38849999999999996
17,1.0,7.0,0.395
18,1.0,8.0,0.39249999999999996
19,1.0,9.0,0.396
20,2.0,0.0,0.356
21,2.0,1.0,0.364
22,2.0,2.0,0.36450000000000005
23,2.0,3.0,0.35350000000000004
24,2.0,4.0,0.378
25,2.0,5.0,0.387
26,2.0,6.0,0.37050000000000005
27,2.0,7.0,0.37250000000000005
28,2.0,8.0,0.38849999999999996
29,2.0,9.0,0.387
30,3.0,0.0,0.39149999999999996
31,3.0,1.0,0.39049999999999996
32,3.0,2.0,0.38049999999999995
33,3.0,3.0,0.38249999999999995
34,3.0,4.0,0.40049999999999997
35,3.0,5.0,0.39349999999999996
36,3.0,6.0,0.385
37,3.0,7.0,0.392
38,3.0,8.0,0.379
39,3.0,9.0,0.37350000000000005
40,4.0,0.0,0.39549999999999996
41,4.0,1.0,0.403
42,4.0,2.0,0.40449999999999997
43,4.0,3.0,0.40449999999999997
44,4.0,4.0,0.402
45,4.0,5.0,0.4185
46,4.0,6.0,0.40149999999999997
47,4.0,7.0,0.40549999999999997
48,4.0,8.0,0.38749999999999996
49,4.0,9.0,0.381
50,5.0,0.0,0.396
51,5.0,1.0,0.4125
52,5.0,2.0,0.41100000000000003
53,5.0,3.0,0.403
54,5.0,4.0,0.402
55,5.0,5.0,0.39749999999999996
56,5.0,6.0,0.39149999999999996
57,5.0,7.0,0.41100000000000003
58,5.0,8.0,0.402
59,5.0,9.0,0.40549999999999997
60,10.0,0.0,0.4155
61,10.0,1.0,0.406
62,10.0,2.0,0.41700000000000004
63,10.0,3.0,0.4215
64,10.0,4.0,0.40900000000000003
65,10.0,5.0,0.4165
66,10.0,6.0,0.4095
67,10.0,7.0,0.40700000000000003
68,10.0,8.0,0.41200000000000003
69,10.0,9.0,0.4085
70,20.0,0.0,0.4315
71,20.0,1.0,0.4285
72,20.0,2.0,0.43500000000000005
73,20.0,3.0,0.43700000000000006
74,20.0,4.0,0.4305
75,20.0,5.0,0.4345
76,20.0,6.0,0.43400000000000005
77,20.0,7.0,0.4385
78,20.0,8.0,0.4325
79,20.0,9.0,0.4315
