,m,r,0,10,45,90,135
0,0.0,0.0,0.304,0.304,0.304,0.304,0.304
1,0.0,1.0,0.2975,0.2975,0.2975,0.2975,0.2975
2,0.0,2.0,0.302,0.302,0.302,0.302,0.302
3,0.0,3.0,0.305,0.305,0.305,0.305,0.305
4,0.0,4.0,0.298,0.298,0.298,0.298,0.298
5,0.0,5.0,0.305,0.305,0.305,0.305,0.305
6,0.0,6.0,0.3035,0.3035,0.3035,0.3035,0.3035
7,0.0,7.0,0.298,0.298,0.298,0.298,0.298
8,0.0,8.0,0.3075,0.3075,0.3075,0.3075,0.3075
9,0.0,9.0,0.2895,0.2895,0.2895,0.2895,0.2895
10,3.0,0.0,0.2219999999999999,0.2339999999999999,0.243,0.281,0.2714999999999999
11,3.0,1.0,0.2205,0.2239999999999999,0.248,0.261,0.2704999999999999
12,3.0,2.0,0.2209999999999999,0.2339999999999999,0.246,0.2684999999999999,0.2714999999999999
13,3.0,3.0,0.2249999999999999,0.239,0.2544999999999999,0.2714999999999999,0.2815
14,3.0,4.0,0.2009999999999999,0.2315,0.245,0.259,0.2654999999999999
15,3.0,5.0,0.2035,0.2119999999999999,0.253,0.2714999999999999,0.2704999999999999
16,3.0,6.0,0.2199999999999999,0.2285,0.246,0.273,0.271
17,3.0,7.0,0.2159999999999999,0.2425,0.263,0.2794999999999999,0.296
18,3.0,8.0,0.2205,0.2305,0.257,0.2804999999999999,0.2895
19,3.0,9.0,0.2209999999999999,0.2319999999999999,0.2495,0.2815,0.292
20,5.0,0.0,0.1785,0.2025,0.244,0.2495,0.2835
21,5.0,1.0,0.1815,0.2059999999999999,0.2365,0.256,0.2704999999999999
22,5.0,2.0,0.178,0.1965,0.2335,0.241,0.273
23,5.0,3.0,0.1875,0.1999999999999999,0.236,0.2504999999999999,0.2774999999999999
24,5.0,4.0,0.184,0.1965,0.2385,0.2594999999999999,0.262
25,5.0,5.0,0.183,0.2105,0.2425,0.241,0.2654999999999999
26,5.0,6.0,0.18,0.1925,0.2325,0.25,0.2784999999999999
27,5.0,7.0,0.1939999999999999,0.1959999999999999,0.2329999999999999,0.253,0.2825
28,5.0,8.0,0.1855,0.1949999999999999,0.2299999999999999,0.2485,0.2664999999999999
29,5.0,9.0,0.1865,0.1915,0.248,0.255,0.2825
30,10.0,0.0,0.166,0.174,0.2235,0.2594999999999999,0.29
31,10.0,1.0,0.1735,0.1935,0.235,0.259,0.291
32,10.0,2.0,0.177,0.186,0.242,0.253,0.2895
33,10.0,3.0,0.165,0.1885,0.2255,0.2524999999999999,0.276
34,10.0,4.0,0.1765,0.1965,0.2279999999999999,0.264,0.2825
35,10.0,5.0,0.175,0.1965,0.238,0.258,0.294
36,10.0,6.0,0.1714999999999999,0.1939999999999999,0.2475,0.259,0.297
37,10.0,7.0,0.1664999999999999,0.1755,0.2445,0.253,0.3035
38,10.0,8.0,0.172,0.1905,0.2319999999999999,0.2604999999999999,0.2905
39,10.0,9.0,0.171,0.1915,0.2405,0.2574999999999999,0.293
40,20.0,0.0,0.1444999999999999,0.151,0.2185,0.2534999999999999,0.286
41,20.0,1.0,0.145,0.163,0.2199999999999999,0.249,0.288
42,20.0,2.0,0.1464999999999999,0.16,0.2169999999999999,0.242,0.2935
43,20.0,3.0,0.137,0.1634999999999999,0.2289999999999999,0.2485,0.295
44,20.0,4.0,0.1474999999999999,0.1584999999999999,0.2135,0.239,0.283
45,20.0,5.0,0.144,0.16,0.2099999999999999,0.2574999999999999,0.29
46,20.0,6.0,0.15,0.1624999999999999,0.2205,0.2415,0.2804999999999999
47,20.0,7.0,0.153,0.1745,0.2215,0.249,0.285
48,20.0,8.0,0.139,0.1564999999999999,0.2295,0.2455,0.2925
49,20.0,9.0,0.144,0.1604999999999999,0.2245,0.2495,0.292
50,30.0,0.0,0.129,0.1384999999999999,0.2215,0.237,0.283
51,30.0,1.0,0.1195,0.137,0.2025,0.2225,0.2895
52,30.0,2.0,0.1314999999999999,0.1344999999999999,0.2085,0.238,0.3045
53,30.0,3.0,0.1304999999999999,0.1514999999999999,0.2045,0.2415,0.2915
54,30.0,4.0,0.132,0.145,0.2159999999999999,0.2544999999999999,0.301
55,30.0,5.0,0.1264999999999999,0.1294999999999999,0.2199999999999999,0.2365,0.2995
56,30.0,6.0,0.1254999999999999,0.142,0.2195,0.239,0.291
57,30.0,7.0,0.127,0.142,0.2175,0.2325,0.2875
58,30.0,8.0,0.123,0.137,0.1989999999999999,0.246,0.2915
59,30.0,9.0,0.123,0.139,0.2055,0.24,0.3015
