,m,r,5,5_alpha
0,0.0,0.0,0.16000000000000003,0.5
1,0.0,1.0,0.16349999999999998,0.5
2,0.0,2.0,0.16649999999999998,0.5
3,0.0,3.0,0.15500000000000003,0.5
4,0.0,4.0,0.15149999999999997,0.5
5,0.0,5.0,0.15300000000000002,0.5
6,0.0,6.0,0.15949999999999998,0.5
7,0.0,7.0,0.16500000000000004,0.5
8,0.0,8.0,0.15949999999999998,0.5
9,0.0,9.0,0.16649999999999998,0.5
10,1.0,0.0,0.15300000000000002,0.918
11,1.0,1.0,0.14049999999999996,0.918
12,1.0,2.0,0.14149999999999996,0.918
13,1.0,3.0,0.13749999999999996,0.918
14,1.0,4.0,0.15449999999999997,0.918
15,1.0,5.0,0.14500000000000002,0.918
16,1.0,6.0,0.139,0.918
17,1.0,7.0,0.13649999999999995,0.918
18,1.0,8.0,0.14400000000000002,0.918
19,1.0,9.0,0.139,0.918
20,2.0,0.0,0.12549999999999994,0.924
21,2.0,1.0,0.124,0.924
22,2.0,2.0,0.13,0.924
23,2.0,3.0,0.129,0.924
24,2.0,4.0,0.11750000000000005,0.924
25,2.0,5.0,0.12749999999999995,0.924
26,2.0,6.0,0.12749999999999995,0.924
27,2.0,7.0,0.12649999999999995,0.924
28,2.0,8.0,0.12749999999999995,0.924
29,2.0,9.0,0.137,0.924
30,3.0,0.0,0.124,0.917
31,3.0,1.0,0.11550000000000005,0.917
32,3.0,2.0,0.11350000000000005,0.917
33,3.0,3.0,0.10999999999999999,0.917
34,3.0,4.0,0.123,0.917
35,3.0,5.0,0.11399999999999999,0.917
36,3.0,6.0,0.11550000000000005,0.917
37,3.0,7.0,0.11850000000000005,0.917
38,3.0,8.0,0.11950000000000005,0.917
39,3.0,9.0,0.11250000000000004,0.917
40,4.0,0.0,0.11750000000000005,0.922
41,4.0,1.0,0.11450000000000005,0.922
42,4.0,2.0,0.12050000000000005,0.922
43,4.0,3.0,0.12350000000000005,0.922
44,4.0,4.0,0.118,0.922
45,4.0,5.0,0.132,0.922
46,4.0,6.0,0.12,0.922
47,4.0,7.0,0.11050000000000004,0.922
48,4.0,8.0,0.12350000000000005,0.922
49,4.0,9.0,0.11950000000000005,0.922
50,5.0,0.0,0.11499999999999999,0.929
51,5.0,1.0,0.11350000000000005,0.929
52,5.0,2.0,0.11250000000000004,0.929
53,5.0,3.0,0.12050000000000005,0.929
54,5.0,4.0,0.11699999999999999,0.929
55,5.0,5.0,0.10499999999999998,0.929
56,5.0,6.0,0.11499999999999999,0.929
57,5.0,7.0,0.12749999999999995,0.929
58,5.0,8.0,0.11750000000000005,0.929
59,5.0,9.0,0.122,0.929
60,10.0,0.0,0.11450000000000005,0.927
61,10.0,1.0,0.11750000000000005,0.927
62,10.0,2.0,0.11150000000000004,0.927
63,10.0,3.0,0.13549999999999995,0.927
64,10.0,4.0,0.13149999999999995,0.927
65,10.0,5.0,0.11250000000000004,0.927
66,10.0,6.0,0.11550000000000005,0.927
67,10.0,7.0,0.11199999999999999,0.927
68,10.0,8.0,0.123,0.927
69,10.0,9.0,0.11699999999999999,0.927
70,20.0,0.0,0.126,0.911
71,20.0,1.0,0.11150000000000004,0.911
72,20.0,2.0,0.118,0.911
73,20.0,3.0,0.12350000000000005,0.911
74,20.0,4.0,0.122,0.911
75,20.0,5.0,0.10450000000000004,0.911
76,20.0,6.0,0.11599999999999999,0.911
77,20.0,7.0,0.10699999999999998,0.911
78,20.0,8.0,0.11399999999999999,0.911
79,20.0,9.0,0.11399999999999999,0.911
