,m,r,3
0,0.0,0.0,0.3255
1,0.0,1.0,0.31499999999999995
2,0.0,2.0,0.30700000000000005
3,0.0,3.0,0.3335
4,0.0,4.0,0.3155
5,0.0,5.0,0.3245
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3085
8,0.0,8.0,0.31200000000000006
9,0.0,9.0,0.3235
10,1.0,0.0,0.3185
11,1.0,1.0,0.30800000000000005
12,1.0,2.0,0.3175
13,1.0,3.0,0.30600000000000005
14,1.0,4.0,0.3135
15,1.0,5.0,0.3225
16,1.0,6.0,0.31399999999999995
17,1.0,7.0,0.3335
18,1.0,8.0,0.3005
19,1.0,9.0,0.31200000000000006
20,2.0,0.0,0.31499999999999995
21,2.0,1.0,0.30900000000000005
22,2.0,2.0,0.30300000000000005
23,2.0,3.0,0.31399999999999995
24,2.0,4.0,0.3215
25,2.0,5.0,0.32099999999999995
26,2.0,6.0,0.3025
27,2.0,7.0,0.31399999999999995
28,2.0,8.0,0.2985
29,2.0,9.0,0.3185
30,3.0,0.0,0.32199999999999995
31,3.0,1.0,0.3275
32,3.0,2.0,0.3285
33,3.0,3.0,0.3205
34,3.0,4.0,0.32999999999999996
35,3.0,5.0,0.3255
36,3.0,6.0,0.32999999999999996
37,3.0,7.0,0.3105
38,3.0,8.0,0.3235
39,3.0,9.0,0.32399999999999995
40,4.0,0.0,0.31999999999999995
41,4.0,1.0,0.32399999999999995
42,4.0,2.0,0.3275
43,4.0,3.0,0.3215
44,4.0,4.0,0.31699999999999995
45,4.0,5.0,0.32499999999999996
46,4.0,6.0,0.32399999999999995
47,4.0,7.0,0.3125
48,4.0,8.0,0.3235
49,4.0,9.0,0.33399999999999996
50,5.0,0.0,0.3255
51,5.0,1.0,0.3215
52,5.0,2.0,0.3095
53,5.0,3.0,0.3165
54,5.0,4.0,0.31000000000000005
55,5.0,5.0,0.32099999999999995
56,5.0,6.0,0.3175
57,5.0,7.0,0.3145
58,5.0,8.0,0.3215
59,5.0,9.0,0.3165
60,10.0,0.0,0.3295
61,10.0,1.0,0.31599999999999995
62,10.0,2.0,0.31399999999999995
63,10.0,3.0,0.3155
64,10.0,4.0,0.31899999999999995
65,10.0,5.0,0.3325
66,10.0,6.0,0.32399999999999995
67,10.0,7.0,0.3105
68,10.0,8.0,0.32399999999999995
69,10.0,9.0,0.3205
70,20.0,0.0,0.34299999999999997
71,20.0,1.0,0.34299999999999997
72,20.0,2.0,0.3245
73,20.0,3.0,0.3405
74,20.0,4.0,0.34299999999999997
75,20.0,5.0,0.33699999999999997
76,20.0,6.0,0.3245
77,20.0,7.0,0.35150000000000003
78,20.0,8.0,0.34099999999999997
79,20.0,9.0,0.34550000000000003
