,m,r,2,2_alpha
0,0.0,0.0,0.16800000000000004,0.5
1,0.0,1.0,0.1835,0.5
2,0.0,2.0,0.16149999999999998,0.5
3,0.0,3.0,0.16649999999999998,0.5
4,0.0,4.0,0.17100000000000004,0.5
5,0.0,5.0,0.16300000000000003,0.5
6,0.0,6.0,0.17800000000000005,0.5
7,0.0,7.0,0.17500000000000004,0.5
8,0.0,8.0,0.1725,0.5
9,0.0,9.0,0.15949999999999998,0.5
10,1.0,0.0,0.14949999999999997,0.9500000000000001
11,1.0,1.0,0.13349999999999995,0.9500000000000001
12,1.0,2.0,0.14049999999999996,0.9500000000000001
13,1.0,3.0,0.132,0.9500000000000001
14,1.0,4.0,0.139,0.9500000000000001
15,1.0,5.0,0.12450000000000006,0.9500000000000001
16,1.0,6.0,0.14,0.9500000000000001
17,1.0,7.0,0.14,0.9500000000000001
18,1.0,8.0,0.14,0.9500000000000001
19,1.0,9.0,0.14149999999999996,0.9500000000000001
20,2.0,0.0,0.136,0.9777777777777779
21,2.0,1.0,0.14649999999999996,0.9777777777777779
22,2.0,2.0,0.133,0.9777777777777779
23,2.0,3.0,0.14349999999999996,0.9777777777777779
24,2.0,4.0,0.12949999999999995,0.9777777777777779
25,2.0,5.0,0.15249999999999997,0.9777777777777779
26,2.0,6.0,0.13749999999999996,0.9777777777777779
27,2.0,7.0,0.14949999999999997,0.9777777777777779
28,2.0,8.0,0.133,0.9777777777777779
29,2.0,9.0,0.134,0.9777777777777779
30,3.0,0.0,0.14049999999999996,0.9925925925925926
31,3.0,1.0,0.13649999999999995,0.9925925925925926
32,3.0,2.0,0.129,0.9925925925925926
33,3.0,3.0,0.118,0.9925925925925926
34,3.0,4.0,0.14049999999999996,0.9925925925925926
35,3.0,5.0,0.14600000000000002,0.9925925925925926
36,3.0,6.0,0.12749999999999995,0.9925925925925926
37,3.0,7.0,0.133,0.9925925925925926
38,3.0,8.0,0.135,0.9925925925925926
39,3.0,9.0,0.12949999999999995,0.9925925925925926
40,4.0,0.0,0.124,0.9934156378600822
41,4.0,1.0,0.129,0.9934156378600822
42,4.0,2.0,0.14249999999999996,0.9934156378600822
43,4.0,3.0,0.12050000000000005,0.9934156378600822
44,4.0,4.0,0.119,0.9934156378600822
45,4.0,5.0,0.12549999999999994,0.9934156378600822
46,4.0,6.0,0.13149999999999995,0.9934156378600822
47,4.0,7.0,0.139,0.9934156378600822
48,4.0,8.0,0.11599999999999999,0.9934156378600822
49,4.0,9.0,0.138,0.9934156378600822
50,5.0,0.0,0.127,0.9934156378600822
51,5.0,1.0,0.124,0.9934156378600822
52,5.0,2.0,0.13,0.9934156378600822
53,5.0,3.0,0.14100000000000001,0.9934156378600822
54,5.0,4.0,0.12749999999999995,0.9934156378600822
55,5.0,5.0,0.128,0.9934156378600822
56,5.0,6.0,0.11599999999999999,0.9934156378600822
57,5.0,7.0,0.11250000000000004,0.9934156378600822
58,5.0,8.0,0.128,0.9934156378600822
59,5.0,9.0,0.134,0.9934156378600822
60,10.0,0.0,0.135,0.9985368084133516
61,10.0,1.0,0.13449999999999995,0.9985368084133516
62,10.0,2.0,0.13649999999999995,0.9985368084133516
63,10.0,3.0,0.13649999999999995,0.9985368084133516
64,10.0,4.0,0.122,0.9985368084133516
65,10.0,5.0,0.126,0.9985368084133516
66,10.0,6.0,0.122,0.9985368084133516
67,10.0,7.0,0.12549999999999994,0.9985368084133516
68,10.0,8.0,0.134,0.9985368084133516
69,10.0,9.0,0.131,0.9985368084133516
70,20.0,0.0,0.13149999999999995,0.9990245389422344
71,20.0,1.0,0.123,0.9990245389422344
72,20.0,2.0,0.129,0.9990245389422344
73,20.0,3.0,0.12849999999999995,0.9990245389422344
74,20.0,4.0,0.125,0.9990245389422344
75,20.0,5.0,0.12250000000000005,0.9990245389422344
76,20.0,6.0,0.12050000000000005,0.9990245389422344
77,20.0,7.0,0.13149999999999995,0.9990245389422344
78,20.0,8.0,0.11750000000000005,0.9990245389422344
79,20.0,9.0,0.126,0.9990245389422344
