,m,r,1
0,0.0,0.0,0.25649999999999995
1,0.0,1.0,0.26049999999999995
2,0.0,2.0,0.24
3,0.0,3.0,0.248
4,0.0,4.0,0.247
5,0.0,5.0,0.25349999999999995
6,0.0,6.0,0.25249999999999995
7,0.0,7.0,0.254
8,0.0,8.0,0.242
9,0.0,9.0,0.25349999999999995
10,1.0,0.0,0.28049999999999997
11,1.0,1.0,0.29300000000000004
12,1.0,2.0,0.28700000000000003
13,1.0,3.0,0.28900000000000003
14,1.0,4.0,0.28500000000000003
15,1.0,5.0,0.29100000000000004
16,1.0,6.0,0.28900000000000003
17,1.0,7.0,0.278
18,1.0,8.0,0.27449999999999997
19,1.0,9.0,0.29300000000000004
20,2.0,0.0,0.3005
21,2.0,1.0,0.2975
22,2.0,2.0,0.3065
23,2.0,3.0,0.30800000000000005
24,2.0,4.0,0.3075
25,2.0,5.0,0.3095
26,2.0,6.0,0.3005
27,2.0,7.0,0.3205
28,2.0,8.0,0.30800000000000005
29,2.0,9.0,0.31699999999999995
30,3.0,0.0,0.2985
31,3.0,1.0,0.2875
32,3.0,2.0,0.3045
33,3.0,3.0,0.30900000000000005
34,3.0,4.0,0.3225
35,3.0,5.0,0.30200000000000005
36,3.0,6.0,0.31799999999999995
37,3.0,7.0,0.2935
38,3.0,8.0,0.32599999999999996
39,3.0,9.0,0.3045
40,4.0,0.0,0.2985
41,4.0,1.0,0.31399999999999995
42,4.0,2.0,0.3125
43,4.0,3.0,0.31100000000000005
44,4.0,4.0,0.3085
45,4.0,5.0,0.3015
46,4.0,6.0,0.31200000000000006
47,4.0,7.0,0.3275
48,4.0,8.0,0.3085
49,4.0,9.0,0.3275
50,5.0,0.0,0.3185
51,5.0,1.0,0.32399999999999995
52,5.0,2.0,0.31299999999999994
53,5.0,3.0,0.3195
54,5.0,4.0,0.30500000000000005
55,5.0,5.0,0.31699999999999995
56,5.0,6.0,0.31599999999999995
57,5.0,7.0,0.31399999999999995
58,5.0,8.0,0.2985
59,5.0,9.0,0.3145
60,10.0,0.0,0.35750000000000004
61,10.0,1.0,0.33199999999999996
62,10.0,2.0,0.32999999999999996
63,10.0,3.0,0.3275
64,10.0,4.0,0.3325
65,10.0,5.0,0.33199999999999996
66,10.0,6.0,0.3365
67,10.0,7.0,0.3295
68,10.0,8.0,0.3325
69,10.0,9.0,0.34199999999999997
70,20.0,0.0,0.36450000000000005
71,20.0,1.0,0.3385
72,20.0,2.0,0.33499999999999996
73,20.0,3.0,0.34650000000000003
74,20.0,4.0,0.34199999999999997
75,20.0,5.0,0.361
76,20.0,6.0,0.35350000000000004
77,20.0,7.0,0.353
78,20.0,8.0,0.34850000000000003
79,20.0,9.0,0.33999999999999997
