,m,r,3
0,0.0,0.0,0.3255
1,0.0,1.0,0.31499999999999995
2,0.0,2.0,0.30700000000000005
3,0.0,3.0,0.3335
4,0.0,4.0,0.3155
5,0.0,5.0,0.3245
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3085
8,0.0,8.0,0.31200000000000006
9,0.0,9.0,0.3235
10,1.0,0.0,0.3145
11,1.0,1.0,0.3225
12,1.0,2.0,0.3155
13,1.0,3.0,0.3095
14,1.0,4.0,0.31999999999999995
15,1.0,5.0,0.31000000000000005
16,1.0,6.0,0.3085
17,1.0,7.0,0.3185
18,1.0,8.0,0.3115
19,1.0,9.0,0.30700000000000005
20,2.0,0.0,0.3105
21,2.0,1.0,0.3055
22,2.0,2.0,0.31200000000000006
23,2.0,3.0,0.31100000000000005
24,2.0,4.0,0.32299999999999995
25,2.0,5.0,0.3115
26,2.0,6.0,0.31200000000000006
27,2.0,7.0,0.31100000000000005
28,2.0,8.0,0.31799999999999995
29,2.0,9.0,0.30000000000000004
30,3.0,0.0,0.3205
31,3.0,1.0,0.3245
32,3.0,2.0,0.31899999999999995
33,3.0,3.0,0.32999999999999996
34,3.0,4.0,0.3125
35,3.0,5.0,0.3175
36,3.0,6.0,0.3235
37,3.0,7.0,0.3105
38,3.0,8.0,0.3305
39,3.0,9.0,0.3205
40,4.0,0.0,0.3165
41,4.0,1.0,0.32099999999999995
42,4.0,2.0,0.30900000000000005
43,4.0,3.0,0.3275
44,4.0,4.0,0.33199999999999996
45,4.0,5.0,0.3165
46,4.0,6.0,0.31799999999999995
47,4.0,7.0,0.3165
48,4.0,8.0,0.3295
49,4.0,9.0,0.31399999999999995
50,5.0,0.0,0.29600000000000004
51,5.0,1.0,0.3155
52,5.0,2.0,0.3075
53,5.0,3.0,0.3095
54,5.0,4.0,0.3145
55,5.0,5.0,0.3205
56,5.0,6.0,0.30400000000000005
57,5.0,7.0,0.3045
58,5.0,8.0,0.32299999999999995
59,5.0,9.0,0.3085
60,10.0,0.0,0.30700000000000005
61,10.0,1.0,0.30200000000000005
62,10.0,2.0,0.30600000000000005
63,10.0,3.0,0.30500000000000005
64,10.0,4.0,0.30900000000000005
65,10.0,5.0,0.3065
66,10.0,6.0,0.3295
67,10.0,7.0,0.3015
68,10.0,8.0,0.31699999999999995
69,10.0,9.0,0.2985
70,20.0,0.0,0.29300000000000004
71,20.0,1.0,0.30400000000000005
72,20.0,2.0,0.3035
73,20.0,3.0,0.31000000000000005
74,20.0,4.0,0.3055
75,20.0,5.0,0.3105
76,20.0,6.0,0.30100000000000005
77,20.0,7.0,0.2955
78,20.0,8.0,0.3095
79,20.0,9.0,0.3025
