,m,r,5
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,1.0,0.0,0.3285
11,1.0,1.0,0.3185
12,1.0,2.0,0.32599999999999996
13,1.0,3.0,0.3375
14,1.0,4.0,0.3265
15,1.0,5.0,0.32699999999999996
16,1.0,6.0,0.3235
17,1.0,7.0,0.3275
18,1.0,8.0,0.3235
19,1.0,9.0,0.32599999999999996
20,2.0,0.0,0.3065
21,2.0,1.0,0.3125
22,2.0,2.0,0.32299999999999995
23,2.0,3.0,0.30400000000000005
24,2.0,4.0,0.33199999999999996
25,2.0,5.0,0.3135
26,2.0,6.0,0.32999999999999996
27,2.0,7.0,0.32699999999999996
28,2.0,8.0,0.30100000000000005
29,2.0,9.0,0.32199999999999995
30,3.0,0.0,0.3175
31,3.0,1.0,0.32099999999999995
32,3.0,2.0,0.3225
33,3.0,3.0,0.3135
34,3.0,4.0,0.3225
35,3.0,5.0,0.3285
36,3.0,6.0,0.3145
37,3.0,7.0,0.3235
38,3.0,8.0,0.3195
39,3.0,9.0,0.31499999999999995
40,4.0,0.0,0.3275
41,4.0,1.0,0.3255
42,4.0,2.0,0.3345
43,4.0,3.0,0.32399999999999995
44,4.0,4.0,0.3245
45,4.0,5.0,0.32899999999999996
46,4.0,6.0,0.3285
47,4.0,7.0,0.33099999999999996
48,4.0,8.0,0.345
49,4.0,9.0,0.3145
50,5.0,0.0,0.3385
51,5.0,1.0,0.3415
52,5.0,2.0,0.32599999999999996
53,5.0,3.0,0.33699999999999997
54,5.0,4.0,0.33399999999999996
55,5.0,5.0,0.34450000000000003
56,5.0,6.0,0.3425
57,5.0,7.0,0.33499999999999996
58,5.0,8.0,0.3425
59,5.0,9.0,0.344
60,10.0,0.0,0.35650000000000004
61,10.0,1.0,0.35650000000000004
62,10.0,2.0,0.35250000000000004
63,10.0,3.0,0.35450000000000004
64,10.0,4.0,0.36350000000000005
65,10.0,5.0,0.35150000000000003
66,10.0,6.0,0.372
67,10.0,7.0,0.352
68,10.0,8.0,0.33999999999999997
69,10.0,9.0,0.347
70,20.0,0.0,0.356
71,20.0,1.0,0.366
72,20.0,2.0,0.35850000000000004
73,20.0,3.0,0.361
74,20.0,4.0,0.34750000000000003
75,20.0,5.0,0.364
76,20.0,6.0,0.359
77,20.0,7.0,0.36150000000000004
78,20.0,8.0,0.35950000000000004
79,20.0,9.0,0.361
