,m,r,5,5_alpha
0,0.0,0.0,0.3245,0.5
1,0.0,1.0,0.33399999999999996,0.5
2,0.0,2.0,0.3255,0.5
3,0.0,3.0,0.3315,0.5
4,0.0,4.0,0.3165,0.5
5,0.0,5.0,0.33499999999999996,0.5
6,0.0,6.0,0.32299999999999995,0.5
7,0.0,7.0,0.3345,0.5
8,0.0,8.0,0.3295,0.5
9,0.0,9.0,0.3185,0.5
10,1.0,0.0,0.3285,0.5
11,1.0,1.0,0.3185,0.5
12,1.0,2.0,0.32599999999999996,0.5
13,1.0,3.0,0.3375,0.5
14,1.0,4.0,0.3265,0.5
15,1.0,5.0,0.32699999999999996,0.5
16,1.0,6.0,0.3235,0.5
17,1.0,7.0,0.3275,0.5
18,1.0,8.0,0.3235,0.5
19,1.0,9.0,0.32599999999999996,0.5
20,2.0,0.0,0.3065,0.5
21,2.0,1.0,0.3125,0.5
22,2.0,2.0,0.32299999999999995,0.5
23,2.0,3.0,0.30400000000000005,0.5
24,2.0,4.0,0.33199999999999996,0.5
25,2.0,5.0,0.3135,0.5
26,2.0,6.0,0.32999999999999996,0.5
27,2.0,7.0,0.32699999999999996,0.5
28,2.0,8.0,0.30100000000000005,0.5
29,2.0,9.0,0.32199999999999995,0.5
30,3.0,0.0,0.3175,0.5
31,3.0,1.0,0.32099999999999995,0.5
32,3.0,2.0,0.3225,0.5
33,3.0,3.0,0.3135,0.5
34,3.0,4.0,0.3225,0.5
35,3.0,5.0,0.3285,0.5
36,3.0,6.0,0.3145,0.5
37,3.0,7.0,0.3235,0.5
38,3.0,8.0,0.3195,0.5
39,3.0,9.0,0.31499999999999995,0.5
40,4.0,0.0,0.3275,0.5
41,4.0,1.0,0.3255,0.5
42,4.0,2.0,0.3345,0.5
43,4.0,3.0,0.32399999999999995,0.5
44,4.0,4.0,0.3245,0.5
45,4.0,5.0,0.32899999999999996,0.5
46,4.0,6.0,0.3285,0.5
47,4.0,7.0,0.33099999999999996,0.5
48,4.0,8.0,0.345,0.5
49,4.0,9.0,0.3145,0.5
50,5.0,0.0,0.3385,0.5
51,5.0,1.0,0.3415,0.5
52,5.0,2.0,0.32599999999999996,0.5
53,5.0,3.0,0.33699999999999997,0.5
54,5.0,4.0,0.33399999999999996,0.5
55,5.0,5.0,0.34450000000000003,0.5
56,5.0,6.0,0.3425,0.5
57,5.0,7.0,0.33499999999999996,0.5
58,5.0,8.0,0.3425,0.5
59,5.0,9.0,0.344,0.5
60,10.0,0.0,0.35650000000000004,0.5
61,10.0,1.0,0.35650000000000004,0.5
62,10.0,2.0,0.35250000000000004,0.5
63,10.0,3.0,0.35450000000000004,0.5
64,10.0,4.0,0.36350000000000005,0.5
65,10.0,5.0,0.35150000000000003,0.5
66,10.0,6.0,0.372,0.5
67,10.0,7.0,0.352,0.5
68,10.0,8.0,0.33999999999999997,0.5
69,10.0,9.0,0.347,0.5
70,20.0,0.0,0.356,0.5
71,20.0,1.0,0.366,0.5
72,20.0,2.0,0.35850000000000004,0.5
73,20.0,3.0,0.361,0.5
74,20.0,4.0,0.34750000000000003,0.5
75,20.0,5.0,0.364,0.5
76,20.0,6.0,0.359,0.5
77,20.0,7.0,0.36150000000000004,0.5
78,20.0,8.0,0.35950000000000004,0.5
79,20.0,9.0,0.361,0.5
