,m,r,4,4_alpha
0,0.0,0.0,0.19599999999999995,0.5
1,0.0,1.0,0.1755,0.5
2,0.0,2.0,0.1895,0.5
3,0.0,3.0,0.1765,0.5
4,0.0,4.0,0.1815,0.5
5,0.0,5.0,0.18500000000000005,0.5
6,0.0,6.0,0.1795,0.5
7,0.0,7.0,0.1945,0.5
8,0.0,8.0,0.18200000000000005,0.5
9,0.0,9.0,0.18799999999999994,0.5
10,1.0,0.0,0.1955,0.9900000000000001
11,1.0,1.0,0.17100000000000004,0.9900000000000001
12,1.0,2.0,0.16749999999999998,0.9900000000000001
13,1.0,3.0,0.1835,0.9900000000000001
14,1.0,4.0,0.18400000000000005,0.9900000000000001
15,1.0,5.0,0.18799999999999994,0.9900000000000001
16,1.0,6.0,0.18200000000000005,0.9900000000000001
17,1.0,7.0,0.20450000000000002,0.9900000000000001
18,1.0,8.0,0.18400000000000005,0.9900000000000001
19,1.0,9.0,0.1835,0.9900000000000001
20,2.0,0.0,0.18000000000000005,0.9988888888888889
21,2.0,1.0,0.1845,0.9988888888888889
22,2.0,2.0,0.18000000000000005,0.9988888888888889
23,2.0,3.0,0.1755,0.9988888888888889
24,2.0,4.0,0.16800000000000004,0.9988888888888889
25,2.0,5.0,0.17149999999999999,0.9988888888888889
26,2.0,6.0,0.1925,0.9988888888888889
27,2.0,7.0,0.1895,0.9988888888888889
28,2.0,8.0,0.17900000000000005,0.9988888888888889
29,2.0,9.0,0.16400000000000003,0.9988888888888889
30,3.0,0.0,0.17149999999999999,0.9997530864197531
31,3.0,1.0,0.1775,0.9997530864197531
32,3.0,2.0,0.17500000000000004,0.9997530864197531
33,3.0,3.0,0.17500000000000004,0.9997530864197531
34,3.0,4.0,0.1745,0.9997530864197531
35,3.0,5.0,0.1765,0.9997530864197531
36,3.0,6.0,0.1755,0.9997530864197531
37,3.0,7.0,0.16649999999999998,0.9997530864197531
38,3.0,8.0,0.17600000000000005,0.9997530864197531
39,3.0,9.0,0.17100000000000004,0.9997530864197531
40,4.0,0.0,0.17700000000000005,0.9999451303155007
41,4.0,1.0,0.18899999999999995,0.9999451303155007
42,4.0,2.0,0.1775,0.9999451303155007
43,4.0,3.0,0.17000000000000004,0.9999451303155007
44,4.0,4.0,0.16600000000000004,0.9999451303155007
45,4.0,5.0,0.17300000000000004,0.9999451303155007
46,4.0,6.0,0.17000000000000004,0.9999451303155007
47,4.0,7.0,0.1765,0.9999451303155007
48,4.0,8.0,0.16400000000000003,0.9999451303155007
49,4.0,9.0,0.1835,0.9999451303155007
50,5.0,0.0,0.17300000000000004,0.999993903368389
51,5.0,1.0,0.16349999999999998,0.999993903368389
52,5.0,2.0,0.1755,0.999993903368389
53,5.0,3.0,0.18200000000000005,0.999993903368389
54,5.0,4.0,0.17049999999999998,0.999993903368389
55,5.0,5.0,0.1795,0.999993903368389
56,5.0,6.0,0.17700000000000005,0.999993903368389
57,5.0,7.0,0.1725,0.999993903368389
58,5.0,8.0,0.17049999999999998,0.999993903368389
59,5.0,9.0,0.1795,0.999993903368389
60,10.0,0.0,0.1825,0.999995935578926
61,10.0,1.0,0.1805,0.999995935578926
62,10.0,2.0,0.17900000000000005,0.999995935578926
63,10.0,3.0,0.17500000000000004,0.999995935578926
64,10.0,4.0,0.17900000000000005,0.999995935578926
65,10.0,5.0,0.17900000000000005,0.999995935578926
66,10.0,6.0,0.17300000000000004,0.999995935578926
67,10.0,7.0,0.18100000000000005,0.999995935578926
68,10.0,8.0,0.16749999999999998,0.999995935578926
69,10.0,9.0,0.1815,0.999995935578926
70,20.0,0.0,0.17500000000000004,0.9999968387836091
71,20.0,1.0,0.1765,0.9999968387836091
72,20.0,2.0,0.16849999999999998,0.9999968387836091
73,20.0,3.0,0.1765,0.9999968387836091
74,20.0,4.0,0.1785,0.9999968387836091
75,20.0,5.0,0.17500000000000004,0.9999968387836091
76,20.0,6.0,0.16849999999999998,0.9999968387836091
77,20.0,7.0,0.17049999999999998,0.9999968387836091
78,20.0,8.0,0.18700000000000006,0.9999968387836091
79,20.0,9.0,0.1735,0.9999968387836091
