,m,r,5,5_alpha
0,0.0,0.0,0.25649999999999995,
1,0.0,1.0,0.26049999999999995,
2,0.0,2.0,0.24,
3,0.0,3.0,0.248,
4,0.0,4.0,0.247,
5,0.0,5.0,0.25349999999999995,
6,0.0,6.0,0.25249999999999995,
7,0.0,7.0,0.254,
8,0.0,8.0,0.242,
9,0.0,9.0,0.25349999999999995,
10,1.0,0.0,0.26449999999999996,
11,1.0,1.0,0.276,
12,1.0,2.0,0.259,
13,1.0,3.0,0.27049999999999996,
14,1.0,4.0,0.28,
15,1.0,5.0,0.267,
16,1.0,6.0,0.26149999999999995,
17,1.0,7.0,0.272,
18,1.0,8.0,0.27,
19,1.0,9.0,0.25649999999999995,
20,2.0,0.0,0.3115,
21,2.0,1.0,0.2935,
22,2.0,2.0,0.3065,
23,2.0,3.0,0.3215,
24,2.0,4.0,0.30400000000000005,
25,2.0,5.0,0.3115,
26,2.0,6.0,0.30000000000000004,
27,2.0,7.0,0.3025,
28,2.0,8.0,0.30300000000000005,
29,2.0,9.0,0.2875,
30,3.0,0.0,0.2945,
31,3.0,1.0,0.3165,
32,3.0,2.0,0.2825,
33,3.0,3.0,0.31899999999999995,
34,3.0,4.0,0.28200000000000003,
35,3.0,5.0,0.31299999999999994,
36,3.0,6.0,0.31399999999999995,
37,3.0,7.0,0.30700000000000005,
38,3.0,8.0,0.3015,
39,3.0,9.0,0.31899999999999995,
40,4.0,0.0,0.31000000000000005,
41,4.0,1.0,0.3255,
42,4.0,2.0,0.3125,
43,4.0,3.0,0.3125,
44,4.0,4.0,0.30800000000000005,
45,4.0,5.0,0.3005,
46,4.0,6.0,0.31100000000000005,
47,4.0,7.0,0.31599999999999995,
48,4.0,8.0,0.3095,
49,4.0,9.0,0.30400000000000005,
50,5.0,0.0,0.3285,
51,5.0,1.0,0.33899999999999997,
52,5.0,2.0,0.3225,
53,5.0,3.0,0.31999999999999995,
54,5.0,4.0,0.3245,
55,5.0,5.0,0.31799999999999995,
56,5.0,6.0,0.3065,
57,5.0,7.0,0.32199999999999995,
58,5.0,8.0,0.3155,
59,5.0,9.0,0.33199999999999996,
60,10.0,0.0,0.345,
61,10.0,1.0,0.33799999999999997,
62,10.0,2.0,0.361,
63,10.0,3.0,0.34450000000000003,
64,10.0,4.0,0.33999999999999997,
65,10.0,5.0,0.33499999999999996,
66,10.0,6.0,0.32899999999999996,
67,10.0,7.0,0.33999999999999997,
68,10.0,8.0,0.3375,
69,10.0,9.0,0.346,
70,20.0,0.0,0.34550000000000003,
71,20.0,1.0,0.366,
72,20.0,2.0,0.3405,
73,20.0,3.0,0.37050000000000005,
74,20.0,4.0,0.33599999999999997,
75,20.0,5.0,0.36,
76,20.0,6.0,0.34550000000000003,
77,20.0,7.0,0.35250000000000004,
78,20.0,8.0,0.35550000000000004,
79,20.0,9.0,0.352,
