,m,r,5
0,0.0,0.0,0.19599999999999995
1,0.0,1.0,0.1755
2,0.0,2.0,0.1895
3,0.0,3.0,0.1765
4,0.0,4.0,0.1815
5,0.0,5.0,0.18500000000000005
6,0.0,6.0,0.1795
7,0.0,7.0,0.1945
8,0.0,8.0,0.18200000000000005
9,0.0,9.0,0.18799999999999994
10,1.0,0.0,0.16849999999999998
11,1.0,1.0,0.15549999999999997
12,1.0,2.0,0.16400000000000003
13,1.0,3.0,0.16849999999999998
14,1.0,4.0,0.15600000000000003
15,1.0,5.0,0.15200000000000002
16,1.0,6.0,0.16449999999999998
17,1.0,7.0,0.1755
18,1.0,8.0,0.16149999999999998
19,1.0,9.0,0.16049999999999998
20,2.0,0.0,0.16300000000000003
21,2.0,1.0,0.1735
22,2.0,2.0,0.15900000000000003
23,2.0,3.0,0.16200000000000003
24,2.0,4.0,0.16149999999999998
25,2.0,5.0,0.1735
26,2.0,6.0,0.16349999999999998
27,2.0,7.0,0.15449999999999997
28,2.0,8.0,0.16049999999999998
29,2.0,9.0,0.16449999999999998
30,3.0,0.0,0.17200000000000004
31,3.0,1.0,0.16049999999999998
32,3.0,2.0,0.16500000000000004
33,3.0,3.0,0.16800000000000004
34,3.0,4.0,0.16549999999999998
35,3.0,5.0,0.16549999999999998
36,3.0,6.0,0.16300000000000003
37,3.0,7.0,0.16700000000000004
38,3.0,8.0,0.16100000000000003
39,3.0,9.0,0.1725
40,4.0,0.0,0.16649999999999998
41,4.0,1.0,0.16449999999999998
42,4.0,2.0,0.16249999999999998
43,4.0,3.0,0.15949999999999998
44,4.0,4.0,0.16700000000000004
45,4.0,5.0,0.1735
46,4.0,6.0,0.1725
47,4.0,7.0,0.16200000000000003
48,4.0,8.0,0.16300000000000003
49,4.0,9.0,0.16849999999999998
50,5.0,0.0,0.16200000000000003
51,5.0,1.0,0.1765
52,5.0,2.0,0.16049999999999998
53,5.0,3.0,0.1775
54,5.0,4.0,0.16949999999999998
55,5.0,5.0,0.16300000000000003
56,5.0,6.0,0.16400000000000003
57,5.0,7.0,0.17300000000000004
58,5.0,8.0,0.16300000000000003
59,5.0,9.0,0.16600000000000004
60,10.0,0.0,0.17700000000000005
61,10.0,1.0,0.17600000000000005
62,10.0,2.0,0.17800000000000005
63,10.0,3.0,0.17900000000000005
64,10.0,4.0,0.1795
65,10.0,5.0,0.1855
66,10.0,6.0,0.17600000000000005
67,10.0,7.0,0.17200000000000004
68,10.0,8.0,0.16849999999999998
69,10.0,9.0,0.17700000000000005
70,20.0,0.0,0.17600000000000005
71,20.0,1.0,0.1795
72,20.0,2.0,0.1905
73,20.0,3.0,0.1865
74,20.0,4.0,0.1805
75,20.0,5.0,0.18000000000000005
76,20.0,6.0,0.18999999999999995
77,20.0,7.0,0.1935
78,20.0,8.0,0.19099999999999995
79,20.0,9.0,0.1875
