,m,r,3
0,0.0,0.0,0.16800000000000004
1,0.0,1.0,0.1835
2,0.0,2.0,0.16149999999999998
3,0.0,3.0,0.16649999999999998
4,0.0,4.0,0.17100000000000004
5,0.0,5.0,0.16300000000000003
6,0.0,6.0,0.17800000000000005
7,0.0,7.0,0.17500000000000004
8,0.0,8.0,0.1725
9,0.0,9.0,0.15949999999999998
10,1.0,0.0,0.16349999999999998
11,1.0,1.0,0.14900000000000002
12,1.0,2.0,0.15549999999999997
13,1.0,3.0,0.14449999999999996
14,1.0,4.0,0.15049999999999997
15,1.0,5.0,0.15000000000000002
16,1.0,6.0,0.15749999999999997
17,1.0,7.0,0.16200000000000003
18,1.0,8.0,0.14749999999999996
19,1.0,9.0,0.15500000000000003
20,2.0,0.0,0.16100000000000003
21,2.0,1.0,0.15400000000000003
22,2.0,2.0,0.15100000000000002
23,2.0,3.0,0.16700000000000004
24,2.0,4.0,0.138
25,2.0,5.0,0.15900000000000003
26,2.0,6.0,0.15800000000000003
27,2.0,7.0,0.16549999999999998
28,2.0,8.0,0.15049999999999997
29,2.0,9.0,0.15200000000000002
30,3.0,0.0,0.15349999999999997
31,3.0,1.0,0.15149999999999997
32,3.0,2.0,0.14649999999999996
33,3.0,3.0,0.133
34,3.0,4.0,0.16100000000000003
35,3.0,5.0,0.15749999999999997
36,3.0,6.0,0.14549999999999996
37,3.0,7.0,0.14549999999999996
38,3.0,8.0,0.14449999999999996
39,3.0,9.0,0.14500000000000002
40,4.0,0.0,0.14
41,4.0,1.0,0.14449999999999996
42,4.0,2.0,0.15149999999999997
43,4.0,3.0,0.14100000000000001
44,4.0,4.0,0.13449999999999995
45,4.0,5.0,0.15300000000000002
46,4.0,6.0,0.15349999999999997
47,4.0,7.0,0.15149999999999997
48,4.0,8.0,0.13049999999999995
49,4.0,9.0,0.14
50,5.0,0.0,0.15100000000000002
51,5.0,1.0,0.14749999999999996
52,5.0,2.0,0.15500000000000003
53,5.0,3.0,0.15449999999999997
54,5.0,4.0,0.15400000000000003
55,5.0,5.0,0.14600000000000002
56,5.0,6.0,0.13949999999999996
57,5.0,7.0,0.13349999999999995
58,5.0,8.0,0.15300000000000002
59,5.0,9.0,0.15349999999999997
60,10.0,0.0,0.139
61,10.0,1.0,0.14700000000000002
62,10.0,2.0,0.14700000000000002
63,10.0,3.0,0.14300000000000002
64,10.0,4.0,0.13449999999999995
65,10.0,5.0,0.13249999999999995
66,10.0,6.0,0.135
67,10.0,7.0,0.138
68,10.0,8.0,0.13449999999999995
69,10.0,9.0,0.14200000000000002
70,20.0,0.0,0.135
71,20.0,1.0,0.127
72,20.0,2.0,0.139
73,20.0,3.0,0.14049999999999996
74,20.0,4.0,0.14200000000000002
75,20.0,5.0,0.129
76,20.0,6.0,0.124
77,20.0,7.0,0.14100000000000001
78,20.0,8.0,0.12649999999999995
79,20.0,9.0,0.13849999999999996
