,m,r,3,3_alpha
0,0.0,0.0,0.16800000000000004,0.5
1,0.0,1.0,0.1835,0.5
2,0.0,2.0,0.16149999999999998,0.5
3,0.0,3.0,0.16649999999999998,0.5
4,0.0,4.0,0.17100000000000004,0.5
5,0.0,5.0,0.16300000000000003,0.5
6,0.0,6.0,0.17800000000000005,0.5
7,0.0,7.0,0.17500000000000004,0.5
8,0.0,8.0,0.1725,0.5
9,0.0,9.0,0.15949999999999998,0.5
10,1.0,0.0,0.16349999999999998,0.9600000000000001
11,1.0,1.0,0.14900000000000002,0.9600000000000001
12,1.0,2.0,0.15549999999999997,0.9600000000000001
13,1.0,3.0,0.14449999999999996,0.9600000000000001
14,1.0,4.0,0.15049999999999997,0.9600000000000001
15,1.0,5.0,0.15000000000000002,0.9600000000000001
16,1.0,6.0,0.15749999999999997,0.9600000000000001
17,1.0,7.0,0.16200000000000003,0.9600000000000001
18,1.0,8.0,0.14749999999999996,0.9600000000000001
19,1.0,9.0,0.15500000000000003,0.9600000000000001
20,2.0,0.0,0.16100000000000003,0.9644444444444445
21,2.0,1.0,0.15400000000000003,0.9644444444444445
22,2.0,2.0,0.15100000000000002,0.9644444444444445
23,2.0,3.0,0.16700000000000004,0.9644444444444445
24,2.0,4.0,0.138,0.9644444444444445
25,2.0,5.0,0.15900000000000003,0.9644444444444445
26,2.0,6.0,0.15800000000000003,0.9644444444444445
27,2.0,7.0,0.16549999999999998,0.9644444444444445
28,2.0,8.0,0.15049999999999997,0.9644444444444445
29,2.0,9.0,0.15200000000000002,0.9644444444444445
30,3.0,0.0,0.15349999999999997,0.9960493827160494
31,3.0,1.0,0.15149999999999997,0.9960493827160494
32,3.0,2.0,0.14649999999999996,0.9960493827160494
33,3.0,3.0,0.133,0.9960493827160494
34,3.0,4.0,0.16100000000000003,0.9960493827160494
35,3.0,5.0,0.15749999999999997,0.9960493827160494
36,3.0,6.0,0.14549999999999996,0.9960493827160494
37,3.0,7.0,0.14549999999999996,0.9960493827160494
38,3.0,8.0,0.14449999999999996,0.9960493827160494
39,3.0,9.0,0.14500000000000002,0.9960493827160494
40,4.0,0.0,0.14,0.9978052126200274
41,4.0,1.0,0.14449999999999996,0.9978052126200274
42,4.0,2.0,0.15149999999999997,0.9978052126200274
43,4.0,3.0,0.14100000000000001,0.9978052126200274
44,4.0,4.0,0.13449999999999995,0.9978052126200274
45,4.0,5.0,0.15300000000000002,0.9978052126200274
46,4.0,6.0,0.15349999999999997,0.9978052126200274
47,4.0,7.0,0.15149999999999997,0.9978052126200274
48,4.0,8.0,0.13049999999999995,0.9978052126200274
49,4.0,9.0,0.14,0.9978052126200274
50,5.0,0.0,0.15100000000000002,0.9980490778844688
51,5.0,1.0,0.14749999999999996,0.9980490778844688
52,5.0,2.0,0.15500000000000003,0.9980490778844688
53,5.0,3.0,0.15449999999999997,0.9980490778844688
54,5.0,4.0,0.15400000000000003,0.9980490778844688
55,5.0,5.0,0.14600000000000002,0.9980490778844688
56,5.0,6.0,0.13949999999999996,0.9980490778844688
57,5.0,7.0,0.13349999999999995,0.9980490778844688
58,5.0,8.0,0.15300000000000002,0.9980490778844688
59,5.0,9.0,0.15349999999999997,0.9980490778844688
60,10.0,0.0,0.139,0.9980490778844688
61,10.0,1.0,0.14700000000000002,0.9980490778844688
62,10.0,2.0,0.14700000000000002,0.9980490778844688
63,10.0,3.0,0.14300000000000002,0.9980490778844688
64,10.0,4.0,0.13449999999999995,0.9980490778844688
65,10.0,5.0,0.13249999999999995,0.9980490778844688
66,10.0,6.0,0.135,0.9980490778844688
67,10.0,7.0,0.138,0.9980490778844688
68,10.0,8.0,0.13449999999999995,0.9980490778844688
69,10.0,9.0,0.14200000000000002,0.9980490778844688
70,20.0,0.0,0.135,0.9991329235042083
71,20.0,1.0,0.127,0.9991329235042083
72,20.0,2.0,0.139,0.9991329235042083
73,20.0,3.0,0.14049999999999996,0.9991329235042083
74,20.0,4.0,0.14200000000000002,0.9991329235042083
75,20.0,5.0,0.129,0.9991329235042083
76,20.0,6.0,0.124,0.9991329235042083
77,20.0,7.0,0.14100000000000001,0.9991329235042083
78,20.0,8.0,0.12649999999999995,0.9991329235042083
79,20.0,9.0,0.13849999999999996,0.9991329235042083
