,m,r,1,1_alpha
0,0.0,0.0,0.16800000000000004,
1,0.0,1.0,0.1835,
2,0.0,2.0,0.16149999999999998,
3,0.0,3.0,0.16649999999999998,
4,0.0,4.0,0.17100000000000004,
5,0.0,5.0,0.16300000000000003,
6,0.0,6.0,0.17800000000000005,
7,0.0,7.0,0.17500000000000004,
8,0.0,8.0,0.1725,
9,0.0,9.0,0.15949999999999998,
10,1.0,0.0,0.21650000000000003,
11,1.0,1.0,0.21399999999999997,
12,1.0,2.0,0.21350000000000002,
13,1.0,3.0,0.21950000000000003,
14,1.0,4.0,0.21299999999999997,
15,1.0,5.0,0.21450000000000002,
16,1.0,6.0,0.21999999999999997,
17,1.0,7.0,0.22199999999999998,
18,1.0,8.0,0.21699999999999997,
19,1.0,9.0,0.20550000000000002,
20,2.0,0.0,0.237,
21,2.0,1.0,0.237,
22,2.0,2.0,0.25,
23,2.0,3.0,0.24350000000000005,
24,2.0,4.0,0.24950000000000006,
25,2.0,5.0,0.236,
26,2.0,6.0,0.23150000000000004,
27,2.0,7.0,0.25049999999999994,
28,2.0,8.0,0.25,
29,2.0,9.0,0.22799999999999998,
30,3.0,0.0,0.249,
31,3.0,1.0,0.26849999999999996,
32,3.0,2.0,0.24750000000000005,
33,3.0,3.0,0.27349999999999997,
34,3.0,4.0,0.26249999999999996,
35,3.0,5.0,0.25249999999999995,
36,3.0,6.0,0.26749999999999996,
37,3.0,7.0,0.239,
38,3.0,8.0,0.27649999999999997,
39,3.0,9.0,0.259,
40,4.0,0.0,0.274,
41,4.0,1.0,0.32299999999999995,
42,4.0,2.0,0.27349999999999997,
43,4.0,3.0,0.28200000000000003,
44,4.0,4.0,0.2825,
45,4.0,5.0,0.26149999999999995,
46,4.0,6.0,0.29400000000000004,
47,4.0,7.0,0.26249999999999996,
48,4.0,8.0,0.2985,
49,4.0,9.0,0.27549999999999997,
50,5.0,0.0,0.3085,
51,5.0,1.0,0.2915,
52,5.0,2.0,0.29400000000000004,
53,5.0,3.0,0.2985,
54,5.0,4.0,0.2935,
55,5.0,5.0,0.30100000000000005,
56,5.0,6.0,0.28700000000000003,
57,5.0,7.0,0.29600000000000004,
58,5.0,8.0,0.2875,
59,5.0,9.0,0.2905,
60,10.0,0.0,0.34750000000000003,
61,10.0,1.0,0.33899999999999997,
62,10.0,2.0,0.36650000000000005,
63,10.0,3.0,0.351,
64,10.0,4.0,0.36850000000000005,
65,10.0,5.0,0.35050000000000003,
66,10.0,6.0,0.34550000000000003,
67,10.0,7.0,0.361,
68,10.0,8.0,0.38349999999999995,
69,10.0,9.0,0.3385,
70,20.0,0.0,0.39249999999999996,
71,20.0,1.0,0.41500000000000004,
72,20.0,2.0,0.38449999999999995,
73,20.0,3.0,0.38649999999999995,
74,20.0,4.0,0.38249999999999995,
75,20.0,5.0,0.40049999999999997,
76,20.0,6.0,0.384,
77,20.0,7.0,0.39849999999999997,
78,20.0,8.0,0.387,
79,20.0,9.0,0.39849999999999997,
