,ood,m_n,avg_error,std_error,summary,config,name
10,30,2,0.1197,0.007,"{'_step': 1010, '_wandb': {'runtime': 1054}, '_timestamp': 1663355959.4763243, 'train_loss': 0.0015, 'train_acc': 1, 'final_test_err': 0.1231, 'epoch': 100, 'avg_err': 0.1197, 'run_num': 9, 'std_err': 0.007, '_runtime': 1055.1924262046814}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'angle': 30, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2k3cf4e8
11,30,3,0.124,0.0078,"{'train_loss': 0.001, '_step': 1010, 'std_err': 0.0078, '_runtime': 1143.376248836517, '_timestamp': 1663356088.6632178, 'train_acc': 1, 'final_test_err': 0.13570000000000004, 'epoch': 100, '_wandb': {'runtime': 1142}, 'avg_err': 0.124, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'angle': 30, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",32r64nhr
12,30,4,0.1281,0.0072,"{'_timestamp': 1663356109.345781, 'train_loss': 0.001, 'final_test_err': 0.12960000000000005, 'epoch': 100, 'std_err': 0.0072, '_runtime': 1154.474796295166, 'train_acc': 1, '_step': 1010, '_wandb': {'runtime': 1153}, 'avg_err': 0.1281, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'angle': 30, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3a6fd1ui
13,30,5,0.1268,0.0058,"{'_step': 1010, '_wandb': {'runtime': 1209}, 'run_num': 9, 'std_err': 0.0058, '_runtime': 1210.2741816043854, 'train_acc': 1, 'epoch': 100, 'avg_err': 0.1268, '_timestamp': 1663356174.0850356, 'train_loss': 0.0009, 'final_test_err': 0.12129999999999996}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'angle': 30, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2hvgk6up
14,30,10,0.1302,0.0073,"{'_wandb': {'runtime': 1476}, 'run_num': 9, '_runtime': 1477.7556517124176, 'train_acc': 1, 'final_test_err': 0.1279, '_step': 1010, 'epoch': 100, 'avg_err': 0.1302, 'std_err': 0.0073, '_timestamp': 1663356490.9709456, 'train_loss': 0.0005}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'angle': 30, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",eisja2fj
15,30,20,0.1271,0.0074,"{'_step': 1010, 'epoch': 100, 'avg_err': 0.1271, 'std_err': 0.0074, '_runtime': 1944.058510303497, 'train_acc': 1, 'train_loss': 0.0004, 'final_test_err': 0.126, '_wandb': {'runtime': 1943}, 'run_num': 9, '_timestamp': 1663356974.1896863}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 20, 'ood': [0], 'beta': 'unbiased', 'angle': 30, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",17881q4b
16,32,0,0.1396,0.0214,"{'std_err': 0.0214, 'train_acc': 1, '_timestamp': 1663383117.9932892, 'final_test_err': 0.1098, 'train_loss': 0.0024, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 798}, 'avg_err': 0.1396, 'run_num': 9, '_runtime': 799.2663671970367}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2eg05ubu
17,32,1,0.1272,0.0098,"{'std_err': 0.0098, '_timestamp': 1663383157.5231235, 'train_loss': 0.0015, 'final_test_err': 0.12380000000000002, '_step': 1010, '_wandb': {'runtime': 838}, 'run_num': 9, '_runtime': 838.8301866054535, 'train_acc': 1, 'epoch': 100, 'avg_err': 0.1272}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",16nxjspm
18,32,2,0.1264,0.0074,"{'avg_err': 0.1264, 'train_acc': 1, '_timestamp': 1663383211.534654, 'train_loss': 0.0015, 'std_err': 0.0074, '_runtime': 892.8378171920776, 'final_test_err': 0.1271, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 892}, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",ijwchjw5
19,32,3,0.1314,0.0084,"{'_step': 1010, 'epoch': 100, '_wandb': {'runtime': 921}, 'run_num': 9, 'std_err': 0.0084, '_runtime': 922.3181262016296, 'final_test_err': 0.14680000000000004, 'avg_err': 0.1314, 'train_acc': 1, '_timestamp': 1663383240.975484, 'train_loss': 0.0011}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1jg4rw8e
