,ood,m_n,avg_error,std_error,summary,config,name
20,32,4,0.134,0.0063,"{'_step': 1010, '_runtime': 965.4668614864348, 'train_acc': 1, '_timestamp': 1663383284.2830136, 'final_test_err': 0.13349999999999995, 'epoch': 100, '_wandb': {'runtime': 965}, 'avg_err': 0.134, 'run_num': 9, 'std_err': 0.0063, 'train_loss': 0.001}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1ckmctqy
21,32,5,0.1342,0.0088,"{'_step': 1010, '_runtime': 1018.1397218704224, 'final_test_err': 0.13090000000000002, 'std_err': 0.0088, 'train_acc': 1, '_timestamp': 1663383337.1141648, 'train_loss': 0.0009, 'epoch': 100, '_wandb': {'runtime': 1017}, 'avg_err': 0.1342, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",btjt9n66
22,32,10,0.1398,0.0061,"{'train_loss': 0.0005, 'final_test_err': 0.14580000000000004, '_wandb': {'runtime': 1262}, '_runtime': 1262.9236326217651, 'train_acc': 1, 'run_num': 9, 'std_err': 0.0061, '_timestamp': 1663383581.5753996, '_step': 1010, 'epoch': 100, 'avg_err': 0.1398}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2tygk5si
23,32,20,0.1406,0.0097,"{'_timestamp': 1663384070.2064335, 'train_loss': 0.0004, 'final_test_err': 0.12980000000000003, '_step': 1010, 'epoch': 100, 'run_num': 9, 'train_acc': 1, '_wandb': {'runtime': 1751}, 'avg_err': 0.1406, 'std_err': 0.0097, '_runtime': 1751.553698539734}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 20, 'ood': [0], 'beta': 'unbiased', 'angle': 32, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",26o93ytm
24,35,0,0.1396,0.0214,"{'_runtime': 796.9582431316376, '_timestamp': 1663383115.6718602, 'final_test_err': 0.1098, 'avg_err': 0.1396, 'run_num': 9, 'std_err': 0.0214, 'train_acc': 1, 'train_loss': 0.0024, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 796}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",12e9ullz
25,35,1,0.1335,0.0129,"{'_step': 1010, 'epoch': 100, 'std_err': 0.0129, 'train_acc': 1, '_timestamp': 1663383141.937144, 'train_loss': 0.0016, 'final_test_err': 0.1249, '_wandb': {'runtime': 822}, 'avg_err': 0.1335, 'run_num': 9, '_runtime': 823.1386680603027}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",26qlcdg8
26,35,2,0.1336,0.0072,"{'_step': 1010, 'epoch': 100, 'train_acc': 1, '_timestamp': 1663384019.5161662, '_wandb': {'runtime': 897}, 'avg_err': 0.1336, 'run_num': 9, 'std_err': 0.0072, '_runtime': 898.3712651729584, 'train_loss': 0.0016, 'final_test_err': 0.1382}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1ifbva6m
27,35,3,0.1434,0.01,"{'_wandb': {'runtime': 937}, 'avg_err': 0.1434, 'run_num': 9, 'std_err': 0.01, '_runtime': 937.8484454154968, 'train_acc': 1, '_timestamp': 1663384063.2338564, 'final_test_err': 0.1512, '_step': 1010, 'epoch': 100, 'train_loss': 0.0011}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",xdqaw7xj
28,35,4,0.1442,0.0068,"{'final_test_err': 0.14229999999999998, '_wandb': {'runtime': 966}, 'run_num': 9, 'std_err': 0.0068, '_runtime': 967.5313613414764, 'train_acc': 1, '_step': 1010, 'epoch': 100, 'avg_err': 0.1442, '_timestamp': 1663384115.1862254, 'train_loss': 0.001}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",34xua2ua
29,35,5,0.1423,0.0066,"{'_wandb': {'runtime': 1040}, 'avg_err': 0.1423, 'run_num': 9, 'train_acc': 1, 'train_loss': 0.0009, 'final_test_err': 0.1401, '_step': 1010, 'epoch': 100, 'std_err': 0.0066, '_runtime': 1040.8614149093628, '_timestamp': 1663384203.459257}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",vriq8x4t
30,35,10,0.1546,0.0063,"{'_step': 1010, 'epoch': 100, 'run_num': 9, 'std_err': 0.0063, '_timestamp': 1663384531.2048686, 'train_loss': 0.0005, '_wandb': {'runtime': 1314}, 'avg_err': 0.1546, '_runtime': 1315.3711545467377, 'train_acc': 1, 'final_test_err': 0.15780000000000005}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1bwrssz6
31,35,20,0.1631,0.0119,"{'_wandb': {'runtime': 1763}, 'avg_err': 0.1631, 'train_acc': 1, 'train_loss': 0.0003, '_step': 1010, 'epoch': 100, '_runtime': 1764.6977090835571, '_timestamp': 1663385011.179733, 'final_test_err': 0.1643, 'run_num': 9, 'std_err': 0.0119}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 20, 'ood': [0], 'beta': 'unbiased', 'angle': 35, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3dfpeedz
32,38,0,0.1396,0.0214,"{'std_err': 0.0214, '_timestamp': 1663384092.5381272, 'final_test_err': 0.1098, '_wandb': {'runtime': 801}, 'epoch': 100, 'avg_err': 0.1396, 'run_num': 9, '_runtime': 801.7953131198883, 'train_acc': 1, 'train_loss': 0.0024, '_step': 1010}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2a94whuw
33,38,1,0.1381,0.0074,"{'_step': 1010, 'epoch': 100, '_wandb': {'runtime': 855}, 'avg_err': 0.1381, 'std_err': 0.0074, '_timestamp': 1663384198.25156, 'final_test_err': 0.13119999999999998, 'run_num': 9, '_runtime': 856.5824210643768, 'train_acc': 1, 'train_loss': 0.0016}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1z0zt7tl
34,38,2,0.1413,0.0093,"{'epoch': 100, 'run_num': 9, 'std_err': 0.0093, '_runtime': 882.4345936775208, 'train_acc': 1, '_timestamp': 1663384469.1925306, 'train_loss': 0.0016, '_step': 1010, '_wandb': {'runtime': 881}, 'avg_err': 0.1413, 'final_test_err': 0.14170000000000005}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1d29f4r6
35,38,3,0.1561,0.0123,"{'epoch': 100, '_wandb': {'runtime': 935}, '_timestamp': 1663384961.3786917, 'train_loss': 0.001, '_step': 1010, 'avg_err': 0.1561, 'run_num': 9, 'std_err': 0.0123, '_runtime': 936.27969455719, 'train_acc': 1, 'final_test_err': 0.1683}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",wqxrrmah
36,38,4,0.1609,0.0124,"{'epoch': 100, 'avg_err': 0.1609, 'run_num': 9, 'std_err': 0.0124, '_runtime': 983.1306426525116, 'train_loss': 0.001, 'final_test_err': 0.15639999999999998, '_step': 1010, '_wandb': {'runtime': 982}, 'train_acc': 1, '_timestamp': 1663385049.5649586}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1ylb2fq0
37,38,5,0.1586,0.0068,"{'_wandb': {'runtime': 1006}, 'avg_err': 0.1586, 'std_err': 0.0068, 'final_test_err': 0.15510000000000002, '_step': 1010, 'epoch': 100, 'run_num': 9, '_runtime': 1007.767103433609, 'train_acc': 1, '_timestamp': 1663385083.9218946, 'train_loss': 0.0009}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",366zsk0w
38,38,10,0.1719,0.0086,"{'train_acc': 1, 'final_test_err': 0.17259999999999998, 'epoch': 100, '_wandb': {'runtime': 1325}, 'std_err': 0.0086, '_runtime': 1326.7253623008728, 'train_loss': 0.0006, '_step': 1010, 'avg_err': 0.1719, 'run_num': 9, '_timestamp': 1663385424.6704242}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",37moszr9
39,38,20,0.1792,0.0088,"{'train_acc': 1, 'final_test_err': 0.18579999999999997, 'std_err': 0.0088, '_runtime': 1781.7429552078247, '_timestamp': 1663385900.4653711, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 1780}, 'avg_err': 0.1792, 'run_num': 9, 'train_loss': 0.0004}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 20, 'ood': [0], 'beta': 'unbiased', 'angle': 38, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1fxvj9tc
40,40,0,0.1396,0.0214,"{'_timestamp': 1663385010.253088, 'final_test_err': 0.1098, '_step': 1010, '_wandb': {'runtime': 806}, '_runtime': 807.3068549633026, 'std_err': 0.0214, 'train_acc': 1, 'train_loss': 0.0024, 'epoch': 100, 'avg_err': 0.1396, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3at9uxlm
41,40,1,0.1446,0.0097,"{'_step': 1010, '_wandb': {'runtime': 838}, 'avg_err': 0.1446, 'run_num': 9, '_runtime': 839.8982615470886, '_timestamp': 1663385047.6743696, 'train_loss': 0.0016, 'epoch': 100, 'std_err': 0.0097, 'train_acc': 1, 'final_test_err': 0.13180000000000003}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",194xzens
42,40,2,0.1499,0.0093,"{'run_num': 9, '_runtime': 888.6387689113617, '_timestamp': 1663385362.46489, 'final_test_err': 0.1492, 'epoch': 100, 'avg_err': 0.1499, 'std_err': 0.0093, 'train_acc': 1, 'train_loss': 0.0015, '_step': 1010, '_wandb': {'runtime': 887}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",oiz97wwe
43,40,3,0.1613,0.0109,"{'_runtime': 940.9094376564026, 'train_acc': 1, 'train_loss': 0.001, 'epoch': 100, 'avg_err': 0.1613, 'std_err': 0.0109, '_timestamp': 1663385477.030655, 'final_test_err': 0.17390000000000003, '_step': 1010, '_wandb': {'runtime': 939}, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3n2ao9wd
44,40,4,0.1627,0.0125,"{'epoch': 100, '_wandb': {'runtime': 978}, '_runtime': 980.0522577762604, '_timestamp': 1663385945.3500068, 'train_loss': 0.001, 'final_test_err': 0.1594, '_step': 1010, 'avg_err': 0.1627, 'run_num': 9, 'std_err': 0.0125, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1xizu4ob
45,40,5,0.1679,0.009,"{'final_test_err': 0.16349999999999998, '_step': 1010, 'epoch': 100, 'run_num': 9, '_runtime': 1052.1867854595184, '_timestamp': 1663386066.2748976, '_wandb': {'runtime': 1051}, 'avg_err': 0.1679, 'std_err': 0.009, 'train_acc': 1, 'train_loss': 0.0009}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2nxbgio0
46,40,10,0.1792,0.011,"{'train_acc': 1, '_timestamp': 1663386270.4379425, 'train_loss': 0.0005, 'final_test_err': 0.19379999999999997, '_step': 1010, 'avg_err': 0.1792, 'run_num': 9, 'std_err': 0.011, 'epoch': 100, '_wandb': {'runtime': 1253}, '_runtime': 1254.3786923885343}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2f3o9r4o
47,40,20,0.192,0.0089,"{'run_num': 9, 'std_err': 0.0089, 'train_acc': 1, 'final_test_err': 0.2026, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 1681}, 'avg_err': 0.192, '_runtime': 1681.9898047447205, '_timestamp': 1663386735.0487568, 'train_loss': 0.0004}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 20, 'ood': [0], 'beta': 'unbiased', 'angle': 40, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",rxfjvs9t
48,42,0,0.1396,0.0214,"{'_step': 1010, 'avg_err': 0.1396, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663385842.96138, 'train_loss': 0.0024, 'epoch': 100, '_wandb': {'runtime': 788}, 'std_err': 0.0214, '_runtime': 789.1885859966278, 'final_test_err': 0.1098}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'conv', 'tag': '14_domainbed/rotated_mnist_smallconv', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'angle': 42, 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'rotated_mnist', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2wsx14sq
