,m_n,avg_error,std_error,task,summary,config,name
0,0,0.8161,0.0156,0,"{'_step': 1010, 'avg_err': 0.8161, 'std_err': 0.0156, 'train_acc': 0.38, 'train_loss': 1.9702, 'epoch': 100, '_wandb': {'runtime': 632}, 'run_num': 9, '_runtime': 633.3017873764038, '_timestamp': 1663245133.1351204, 'final_test_err': 0.80355}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",1lwnmwou
1,1,0.7827,0.0086,0,"{'_step': 1010, 'epoch': 100, 'avg_err': 0.7827, '_runtime': 638.5582308769226, 'train_loss': 1.9196, '_wandb': {'runtime': 638}, 'run_num': 9, 'std_err': 0.0086, 'train_acc': 0.33, '_timestamp': 1663245138.353972, 'final_test_err': 0.77485}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",27zint0j
2,2,0.7595,0.013,0,"{'epoch': 100, '_wandb': {'runtime': 601}, 'std_err': 0.013, '_runtime': 601.783971786499, 'train_acc': 0.3767, '_timestamp': 1663245101.2693627, '_step': 1010, 'avg_err': 0.7595, 'run_num': 9, 'train_loss': 1.841, 'final_test_err': 0.7554}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",kvm302ho
3,3,0.7412,0.0102,0,"{'final_test_err': 0.73875, 'epoch': 100, '_wandb': {'runtime': 838}, '_runtime': 839.0821788311005, 'train_acc': 0.345, 'train_loss': 1.8073, '_step': 1010, 'avg_err': 0.7412, 'run_num': 9, 'std_err': 0.0102, '_timestamp': 1663245338.9016948}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",jtd21tp4
4,4,0.7392,0.0094,0,"{'train_acc': 0.352, '_timestamp': 1663245321.434751, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 821}, 'avg_err': 0.7392, 'std_err': 0.0094, '_runtime': 821.8425369262695, 'train_loss': 1.8163, 'final_test_err': 0.74265, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",3tbsme41
5,5,0.7275,0.0082,0,"{'train_acc': 0.3683, '_timestamp': 1663245301.013706, 'train_loss': 1.7338, 'epoch': 100, '_wandb': {'runtime': 800}, 'avg_err': 0.7275, 'run_num': 9, '_step': 1010, 'std_err': 0.0082, '_runtime': 801.3407120704651, 'final_test_err': 0.7341}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",1cfwspoz
6,10,0.6879,0.0128,0,"{'_runtime': 909.0240061283112, 'train_acc': 0.4091, 'train_loss': 1.6199, 'epoch': 100, '_wandb': {'runtime': 908}, 'avg_err': 0.6879, 'std_err': 0.0128, '_step': 1010, 'run_num': 9, '_timestamp': 1663245408.7852662, 'final_test_err': 0.6928000000000001}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",dfsr6zow
7,20,0.6478,0.0148,0,"{'avg_err': 0.6478, 'run_num': 9, 'std_err': 0.0148, 'train_acc': 0.5, '_timestamp': 1663245533.472003, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 1033}, '_runtime': 1033.6879889965055, 'train_loss': 1.3638, 'final_test_err': 0.6507499999999999}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '08_cinic10_10way/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 20, 'ood': [0], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'split_cinic10', 'task_map': [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'is_multihead': False, 'eval_at_epoch': False}",2o9bqsag
