,m_n,avg_error,std_error
0,0,0.3417,0.0345
1,1,0.3355,0.0233
2,2,0.3372,0.0131
3,3,0.3388,0.0203
4,4,0.3374,0.0179
5,5,0.3472,0.0113
6,8,0.3565,0.0116
7,10,0.3555,0.0184
8,15,0.3584,0.0101
9,20,0.3638,0.0162
