,target,ood,m_n,avg_error,std_error,summary,config,name
0,P,P,10,0.2196,0.0098,"{'m': 300, 'n': 30, 'epoch': 100, 'run_num': 9, 'train_loss': 0.0014, '_step': 1020, '_wandb': {'runtime': 2930}, 'avg_err': 0.2196, 'std_err': 0.0098, '_runtime': 2931.1217608451843, 'train_acc': 1, '_timestamp': 1663549326.007809, 'final_test_err': 0.2257336343115124}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1huusoyr
1,P,P,9,0.2314,0.0147,"{'epoch': 100, 'train_acc': 1, '_timestamp': 1663549200.0903594, 'train_loss': 0.0016, 'run_num': 9, 'std_err': 0.0147, '_runtime': 3078.570572376251, 'm': 270, 'n': 30, '_step': 1020, '_wandb': {'runtime': 3077}, 'avg_err': 0.2314, 'final_test_err': 0.24153498871331824}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",7xjewjle
2,P,P,8,0.2632,0.0108,"{'_timestamp': 1663549036.9802012, 'm': 240, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3095}, 'train_acc': 1, 'train_loss': 0.0011, 'final_test_err': 0.2528216704288939, 'n': 30, 'avg_err': 0.2632, 'run_num': 9, 'std_err': 0.0108, '_runtime': 3096.4681062698364}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2cnk06hv
3,P,P,7,0.3016,0.0181,"{'n': 30, 'epoch': 100, '_wandb': {'runtime': 3112}, 'std_err': 0.0181, 'final_test_err': 0.3002257336343115, 'train_acc': 1, '_timestamp': 1663548779.6909602, 'train_loss': 0.0014, 'm': 210, '_step': 1020, 'avg_err': 0.3016, 'run_num': 9, '_runtime': 3114.5945460796356}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1clm52ec
4,P,P,6,0.3352,0.0241,"{'n': 30, 'epoch': 100, 'avg_err': 0.3352, 'm': 180, '_wandb': {'runtime': 3260}, 'run_num': 9, 'std_err': 0.0241, '_runtime': 3261.057038784027, 'train_acc': 1, '_timestamp': 1663548437.4182017, 'train_loss': 0.0124, '_step': 1020, 'final_test_err': 0.35440180586907444}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3ppo5z4m
5,P,P,5,0.365,0.0243,"{'std_err': 0.0243, '_runtime': 2998.5838482379913, '_timestamp': 1663548174.49307, 'final_test_err': 0.381489841986456, 'm': 150, '_step': 1020, 'epoch': 100, 'run_num': 9, 'train_loss': 0.0112, 'n': 30, '_wandb': {'runtime': 2997}, 'avg_err': 0.365, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2ol9gzzp
6,P,P,4,0.3898,0.0278,"{'train_acc': 1, '_step': 1020, 'epoch': 100, 'std_err': 0.0278, 'avg_err': 0.3898, 'run_num': 9, '_runtime': 2805.2269146442413, '_timestamp': 1663547548.3010857, 'train_loss': 0.0065, 'm': 120, 'n': 30, '_wandb': {'runtime': 2804}, 'final_test_err': 0.39503386004514673}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3nc2rovc
7,P,P,3,0.4181,0.0285,"{'_timestamp': 1663546703.8301556, 'final_test_err': 0.4085778781038375, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 2436}, 'avg_err': 0.4181, 'train_acc': 1, 'train_loss': 0.0026, 'm': 90, '_step': 1020, 'run_num': 9, 'std_err': 0.0285, '_runtime': 2437.2891716957092}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",8qp0zuih
8,P,P,2,0.467,0.0192,"{'train_loss': 0.0029, 'm': 60, 'avg_err': 0.467, '_runtime': 1894.5675899982452, 'train_acc': 1, '_timestamp': 1663546116.831816, 'std_err': 0.0192, 'final_test_err': 0.4785553047404063, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1893}, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1avr9esc
9,P,P,1,0.514,0.0363,"{'_runtime': 1392.7477223873138, 'train_acc': 1, 'final_test_err': 0.4492099322799097, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 1392}, 'run_num': 9, '_timestamp': 1663545172.0106034, 'train_loss': 0.0244, 'm': 30, '_step': 1020, 'avg_err': 0.514, 'std_err': 0.0363}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3jy6eawn
