,m_n,avg_error,std_error,angle,summary,config,name
10,0,0.3798,0.0397,10,"{'final_test_err': 0.35, '_wandb': {'runtime': 1132}, 'std_err': 0.0397, '_runtime': 1132.8897125720978, '_timestamp': 1663947690.0924735, 'avg_err': 0.3798, 'run_num': 9, 'train_acc': 0.8, 'train_loss': 0.4804, 'm': 0, 'n': 100, '_step': 1020, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3m0k4oo4
11,1,0.3248,0.0259,10,"{'_step': 1020, 'avg_err': 0.3248, 'run_num': 9, '_runtime': 1132.5275461673737, 'final_test_err': 0.346, 'n': 100, 'epoch': 100, '_wandb': {'runtime': 1131}, 'std_err': 0.0259, 'train_acc': 0.78, '_timestamp': 1663947737.6668422, 'train_loss': 0.5338, 'm': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",cz3xeq1z
12,2,0.3042,0.0177,10,"{'_wandb': {'runtime': 1207}, 'run_num': 9, '_runtime': 1208.2178840637207, 'train_acc': 0.8133, 'm': 200, 'n': 100, '_step': 1020, 'epoch': 100, 'final_test_err': 0.3325, 'avg_err': 0.3042, 'std_err': 0.0177, '_timestamp': 1663947847.304631, 'train_loss': 0.4208}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3cnaaxj7
13,3,0.294,0.0199,10,"{'avg_err': 0.294, 'run_num': 9, 'std_err': 0.0199, '_runtime': 1218.701294183731, 'train_acc': 0.8125, 'train_loss': 0.4095, '_step': 1020, 'n': 100, 'epoch': 100, '_wandb': {'runtime': 1217}, '_timestamp': 1663947931.0304482, 'final_test_err': 0.3195, 'm': 300}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",14zyzrg0
14,4,0.2929,0.0188,10,"{'run_num': 9, 'final_test_err': 0.31599999999999995, 'm': 400, '_step': 1020, 'epoch': 100, 'std_err': 0.0188, '_runtime': 1244.786787033081, 'train_acc': 0.842, '_timestamp': 1663948021.322702, 'train_loss': 0.3912, 'n': 100, '_wandb': {'runtime': 1244}, 'avg_err': 0.2929}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",7jod37k9
15,5,0.2849,0.02,10,"{'std_err': 0.02, '_runtime': 1311.5858001708984, 'train_acc': 0.875, '_step': 1020, '_wandb': {'runtime': 1310}, 'epoch': 100, 'avg_err': 0.2849, 'run_num': 9, '_timestamp': 1663948188.0209222, 'train_loss': 0.335, 'final_test_err': 0.3075, 'm': 500, 'n': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",32ntqizz
16,10,0.2774,0.0154,10,"{'final_test_err': 0.2855, '_step': 1020, '_wandb': {'runtime': 1381}, 'train_acc': 0.9709, 'train_loss': 0.1583, 'run_num': 9, 'std_err': 0.0154, '_runtime': 1382.0531606674194, '_timestamp': 1663948415.0078018, 'm': 1000, 'n': 100, 'epoch': 100, 'avg_err': 0.2774}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3vttlfug
17,20,0.2772,0.0145,10,"{'final_test_err': 0.2835, '_wandb': {'runtime': 1463}, 'run_num': 9, 'std_err': 0.0145, '_runtime': 1464.093346118927, 'train_acc': 0.9976, '_timestamp': 1663948648.768083, 'm': 2000, 'n': 100, '_step': 1020, 'epoch': 100, 'avg_err': 0.2772, 'train_loss': 0.0406}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",hf9fxsbl
18,30,0.272,0.0212,10,"{'epoch': 100, '_wandb': {'runtime': 1624}, 'std_err': 0.0212, 'm': 3000, 'n': 100, '_step': 1020, 'avg_err': 0.272, 'run_num': 9, '_runtime': 1625.9292759895325, 'train_acc': 0.999, '_timestamp': 1663948989.032265, 'train_loss': 0.0296, 'final_test_err': 0.273}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 30, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2x13dood
19,40,0.2532,0.0162,10,"{'train_acc': 0.9866, 'm': 4000, 'epoch': 100, 'avg_err': 0.2532, 'run_num': 9, '_runtime': 1874.4834713935852, '_timestamp': 1663949403.2905114, 'train_loss': 0.0734, 'final_test_err': 0.22750000000000004, 'n': 100, '_step': 1020, '_wandb': {'runtime': 1874}, 'std_err': 0.0162}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 40, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2ocdz1gd
