,m_n,avg_error,std_error,task,sigma,summary,config,name
11,3,0.2018,0.0176,0,1,"{'run_num': 9, 'std_err': 0.0176, '_runtime': 844.5450828075409, 'train_acc': 0.84, '_timestamp': 1661789992.1358528, 'train_loss': 0.3877, 'final_test_err': 0.17100000000000004, '_wandb': {'runtime': 843}, 'epoch': 100, 'avg_err': 0.2018, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",12ys0sh1
12,4,0.2045,0.0142,0,1,"{'_step': 1010, 'run_num': 9, 'avg_err': 0.2045, 'std_err': 0.0142, '_runtime': 877.0625536441803, 'train_acc': 0.838, '_timestamp': 1661790084.7413726, 'train_loss': 0.3824, 'epoch': 100, '_wandb': {'runtime': 876}, 'final_test_err': 0.18700000000000008}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2si2elza
13,5,0.2068,0.025,0,1,"{'epoch': 100, '_wandb': {'runtime': 849}, '_timestamp': 1661790220.8864424, 'train_loss': 0.3138, 'train_acc': 0.88, 'final_test_err': 0.2125, '_step': 1010, 'avg_err': 0.2068, 'run_num': 9, 'std_err': 0.025, '_runtime': 850.1268453598022}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",33z15nme
14,10,0.21,0.0276,0,1,"{'epoch': 100, '_wandb': {'runtime': 923}, 'run_num': 9, 'std_err': 0.0276, '_runtime': 924.6951277256012, 'train_loss': 0.1929, 'final_test_err': 0.19499999999999995, '_step': 1010, 'avg_err': 0.21, 'train_acc': 0.9409, '_timestamp': 1661790342.7061875}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3kixxgry
15,20,0.2238,0.0337,0,1,"{'_wandb': {'runtime': 1039}, 'run_num': 9, '_step': 1010, 'avg_err': 0.2238, 'std_err': 0.0337, '_runtime': 1040.329626083374, 'train_acc': 0.9729, '_timestamp': 1661790579.051198, 'train_loss': 0.1065, 'final_test_err': 0.1975, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",16fxdlws
16,0,0.2462,0.0253,0,2,"{'train_loss': 0.4319, 'final_test_err': 0.247, '_step': 1010, '_wandb': {'runtime': 534}, 'std_err': 0.0253, '_runtime': 534.9835419654846, '_timestamp': 1661791940.46705, 'epoch': 100, 'avg_err': 0.2462, 'run_num': 9, 'train_acc': 0.82}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",16bwu66b
17,1,0.2476,0.0216,0,2,"{'avg_err': 0.2476, 'run_num': 9, 'std_err': 0.0216, 'final_test_err': 0.2895, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 555}, '_runtime': 556.0617878437042, 'train_acc': 0.74, '_timestamp': 1661792009.3224638, 'train_loss': 0.5174}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2poxhjm2
18,2,0.2407,0.0252,0,2,"{'epoch': 100, '_wandb': {'runtime': 581}, '_runtime': 582.2950756549835, 'train_loss': 0.4334, 'final_test_err': 0.25049999999999994, '_step': 1010, 'avg_err': 0.2407, 'run_num': 9, 'std_err': 0.0252, 'train_acc': 0.8267, '_timestamp': 1661792111.5852067}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3ignqlsy
19,3,0.2237,0.023,0,2,"{'avg_err': 0.2237, 'run_num': 9, 'std_err': 0.023, '_runtime': 696.1882004737854, 'train_acc': 0.79, '_timestamp': 1661792294.7599535, 'final_test_err': 0.18300000000000005, 'epoch': 100, '_wandb': {'runtime': 695}, 'train_loss': 0.433, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1k9kpvrd
20,4,0.2311,0.0152,0,2,"{'train_loss': 0.4021, '_runtime': 746.4645216464996, '_timestamp': 1661792421.2255926, '_wandb': {'runtime': 745}, 'avg_err': 0.2311, 'run_num': 9, 'std_err': 0.0152, 'train_acc': 0.818, 'final_test_err': 0.224, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2uots4ae
