,m_n,avg_error,std_error,task,sigma,summary,config,name
115,3,0.2764,0.0395,0,14,"{'std_err': 0.0395, '_runtime': 750.9609487056732, '_timestamp': 1661828677.586125, 'epoch': 100, '_wandb': {'runtime': 749}, 'avg_err': 0.2764, 'run_num': 9, '_step': 1010, 'train_acc': 0.755, 'train_loss': 0.5086, 'final_test_err': 0.244}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2387krxs
116,4,0.2879,0.0306,0,14,"{'_wandb': {'runtime': 783}, 'avg_err': 0.2879, 'std_err': 0.0306, '_runtime': 784.3455798625946, 'train_acc': 0.774, 'train_loss': 0.4913, 'epoch': 100, 'run_num': 9, '_timestamp': 1661828836.4262278, 'final_test_err': 0.28800000000000003, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",16qijp2p
117,5,0.3024,0.0407,0,14,"{'train_acc': 0.7617, 'train_loss': 0.5057, 'final_test_err': 0.3005, '_wandb': {'runtime': 806}, 'avg_err': 0.3024, 'run_num': 9, '_runtime': 807.3695468902588, '_timestamp': 1661828909.3004498, '_step': 1010, 'epoch': 100, 'std_err': 0.0407}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",d45ww3er
118,10,0.3146,0.0302,0,14,"{'train_acc': 0.7564, '_timestamp': 1661829118.366908, 'final_test_err': 0.3115, '_wandb': {'runtime': 886}, 'std_err': 0.0302, '_runtime': 887.7748820781708, 'run_num': 9, 'train_loss': 0.4977, '_step': 1010, 'epoch': 100, 'avg_err': 0.3146}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1glo1ylk
119,20,0.329,0.0407,0,14,"{'_timestamp': 1661829330.211847, 'train_loss': 0.4852, 'final_test_err': 0.3685000000000001, '_step': 1010, 'epoch': 100, 'avg_err': 0.329, 'run_num': 9, 'std_err': 0.0407, '_wandb': {'runtime': 1023}, '_runtime': 1024.8587980270386, 'train_acc': 0.7671}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3eonzke9
120,0,0.2462,0.0253,0,15,"{'avg_err': 0.2462, 'train_acc': 0.82, 'final_test_err': 0.247, '_wandb': {'runtime': 591}, 'epoch': 100, 'run_num': 9, 'std_err': 0.0253, '_runtime': 592.227114200592, '_timestamp': 1661830735.238789, 'train_loss': 0.4319, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",vibf3mah
121,1,0.2762,0.0282,0,15,"{'std_err': 0.0282, 'avg_err': 0.2762, 'run_num': 9, '_wandb': {'runtime': 623}, '_runtime': 624.0641911029816, 'train_acc': 0.78, '_timestamp': 1661830922.1292272, 'train_loss': 0.5062, 'final_test_err': 0.28, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1qkbq4vs
122,2,0.2867,0.0417,0,15,"{'_runtime': 640.0769197940826, 'train_acc': 0.81, '_timestamp': 1661831003.2261348, 'train_loss': 0.4991, '_wandb': {'runtime': 639}, 'avg_err': 0.2867, 'std_err': 0.0417, 'final_test_err': 0.26849999999999996, '_step': 1010, 'epoch': 100, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1wypw2qj
123,3,0.2796,0.0332,0,15,"{'train_loss': 0.5062, 'epoch': 100, 'avg_err': 0.2796, 'train_acc': 0.7725, 'std_err': 0.0332, '_runtime': 752.14519739151, '_timestamp': 1661831120.9598863, 'final_test_err': 0.25, '_step': 1010, '_wandb': {'runtime': 751}, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",6608d2z9
124,4,0.2874,0.0325,0,15,"{'_wandb': {'runtime': 784}, 'std_err': 0.0325, '_timestamp': 1661831279.360159, 'train_loss': 0.5001, '_step': 1010, 'avg_err': 0.2874, 'run_num': 9, '_runtime': 785.5038290023804, 'train_acc': 0.782, 'final_test_err': 0.28800000000000003, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",37abwkau
125,5,0.2993,0.042,0,15,"{'train_loss': 0.5297, '_step': 1010, 'avg_err': 0.2993, '_timestamp': 1661831343.7750115, 'std_err': 0.042, '_runtime': 807.625563621521, 'train_acc': 0.7433, 'final_test_err': 0.2835, 'epoch': 100, '_wandb': {'runtime': 806}, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3fsqxuq8
126,10,0.3161,0.0356,0,15,"{'_step': 1010, 'avg_err': 0.3161, 'run_num': 9, 'std_err': 0.0356, '_timestamp': 1661831580.1393428, 'train_loss': 0.4982, 'final_test_err': 0.32099999999999995, 'epoch': 100, '_wandb': {'runtime': 880}, '_runtime': 881.4015238285065, 'train_acc': 0.7636}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",bqmiyiux
127,20,0.3224,0.0358,0,15,"{'_step': 1010, 'epoch': 100, 'std_err': 0.0358, '_runtime': 1031.942209482193, 'train_acc': 0.761, 'train_loss': 0.4912, 'final_test_err': 0.356, '_wandb': {'runtime': 1031}, 'avg_err': 0.3224, 'run_num': 9, '_timestamp': 1661831772.4603963}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 15, 'target': 0, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1mqyiams
128,0,0.3798,0.0397,1,1,"{'avg_err': 0.3798, 'std_err': 0.0397, 'train_loss': 0.4804, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 601}, 'run_num': 9, '_runtime': 601.4766845703125, 'train_acc': 0.8, '_timestamp': 1661725709.5152276, 'final_test_err': 0.35}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",czr8oax0
129,1,0.3229,0.021,1,1,"{'_wandb': {'runtime': 638}, 'avg_err': 0.3229, 'run_num': 9, '_runtime': 638.5004172325134, 'train_acc': 0.765, 'final_test_err': 0.353, '_step': 1010, 'std_err': 0.021, '_timestamp': 1661725746.421775, 'train_loss': 0.5198, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",pw0l814h
130,2,0.3097,0.0181,1,1,"{'avg_err': 0.3097, 'std_err': 0.0181, 'train_acc': 0.84, 'train_loss': 0.4044, 'final_test_err': 0.344, 'epoch': 100, '_wandb': {'runtime': 653}, 'run_num': 9, '_runtime': 654.0783636569977, '_timestamp': 1661725762.0397606, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2rxiqgww
131,3,0.3015,0.0184,1,1,"{'run_num': 9, 'std_err': 0.0184, '_runtime': 781.8496367931366, '_timestamp': 1661725889.623113, 'final_test_err': 0.3255, '_wandb': {'runtime': 781}, 'epoch': 100, 'avg_err': 0.3015, 'train_acc': 0.8125, 'train_loss': 0.4369, '_step': 1010}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",28gvpceu
132,4,0.2955,0.0206,1,1,"{'_runtime': 836.1085999011993, 'train_acc': 0.824, 'epoch': 100, '_wandb': {'runtime': 835}, 'std_err': 0.0206, '_timestamp': 1661725943.9873278, 'train_loss': 0.3875, 'final_test_err': 0.3355, '_step': 1010, 'avg_err': 0.2955, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1awz3ay1
133,5,0.2925,0.021,1,1,"{'_wandb': {'runtime': 886}, 'avg_err': 0.2925, 'std_err': 0.021, '_runtime': 886.6429209709167, 'train_loss': 0.3273, '_step': 1010, 'epoch': 100, 'run_num': 9, 'train_acc': 0.86, '_timestamp': 1661725994.521814, 'final_test_err': 0.33599999999999997}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2jp12iei
134,10,0.2959,0.0188,1,1,"{'_step': 1010, 'epoch': 100, '_wandb': {'runtime': 955}, 'avg_err': 0.2959, 'std_err': 0.0188, '_runtime': 956.18123793602, 'train_acc': 0.93, 'train_loss': 0.2208, 'final_test_err': 0.31699999999999995, 'run_num': 9, '_timestamp': 1661726064.004969}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2gqmvooe
135,20,0.2937,0.0078,1,1,"{'final_test_err': 0.2875, '_step': 1010, 'epoch': 100, 'avg_err': 0.2937, 'std_err': 0.0078, '_timestamp': 1661726389.7597728, 'train_loss': 0.1167, '_wandb': {'runtime': 1281}, 'run_num': 9, '_runtime': 1281.9948728084564, 'train_acc': 0.9762}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 1, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1h7t868s
136,0,0.3798,0.0397,1,2,"{'avg_err': 0.3798, 'std_err': 0.0397, 'train_acc': 0.8, '_timestamp': 1661725711.660338, 'train_loss': 0.4804, 'final_test_err': 0.35, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 603}, 'run_num': 9, '_runtime': 603.8811929225922}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",25b5aaac
137,1,0.3246,0.0215,1,2,"{'train_acc': 0.765, '_timestamp': 1661725847.6873212, 'final_test_err': 0.35650000000000004, '_wandb': {'runtime': 739}, 'avg_err': 0.3246, 'run_num': 9, 'std_err': 0.0215, '_runtime': 739.6256711483002, 'train_loss': 0.5175, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",umr9yja4
138,2,0.3227,0.0233,1,2,"{'epoch': 100, 'avg_err': 0.3227, '_runtime': 764.2902319431305, 'train_acc': 0.78, '_timestamp': 1661726480.584149, 'train_loss': 0.4525, 'final_test_err': 0.35050000000000003, '_step': 1010, '_wandb': {'runtime': 763}, 'run_num': 9, 'std_err': 0.0233}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1tnuslsy
139,3,0.3172,0.0236,1,2,"{'epoch': 100, 'avg_err': 0.3172, 'run_num': 9, '_timestamp': 1661726587.2281158, 'final_test_err': 0.3605, '_step': 1010, '_wandb': {'runtime': 868}, 'std_err': 0.0236, '_runtime': 869.8392817974091, 'train_acc': 0.7875, 'train_loss': 0.4579}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3iyayodb
140,4,0.3128,0.0237,1,2,"{'epoch': 100, 'avg_err': 0.3128, 'run_num': 9, 'std_err': 0.0237, '_runtime': 928.327445268631, '_timestamp': 1661726681.7704322, '_step': 1010, '_wandb': {'runtime': 927}, 'train_acc': 0.848, 'train_loss': 0.3919, 'final_test_err': 0.365}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1557odie
141,5,0.3144,0.0164,1,2,"{'std_err': 0.0164, 'train_loss': 0.3245, 'final_test_err': 0.33499999999999996, 'epoch': 100, '_wandb': {'runtime': 956}, 'avg_err': 0.3144, 'train_acc': 0.88, '_timestamp': 1661726723.937375, '_step': 1010, 'run_num': 9, '_runtime': 956.6305391788484}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1ig2zbii
142,10,0.3208,0.0188,1,2,"{'_step': 1010, 'train_acc': 0.8909, '_timestamp': 1661727056.5633757, 'train_loss': 0.2902, 'epoch': 100, '_wandb': {'runtime': 1202}, 'avg_err': 0.3208, 'run_num': 9, 'std_err': 0.0188, '_runtime': 1203.3524107933044, 'final_test_err': 0.3145}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2h57h100
143,20,0.3359,0.0204,1,2,"{'train_loss': 0.1748, 'final_test_err': 0.32199999999999995, 'epoch': 100, 'avg_err': 0.3359, '_runtime': 1229.553634405136, 'train_acc': 0.9452, '_timestamp': 1661727125.1849053, '_step': 1010, '_wandb': {'runtime': 1228}, 'run_num': 9, 'std_err': 0.0204}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 2, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",nf9qk8wv
144,0,0.3798,0.0397,1,3,"{'_wandb': {'runtime': 727}, '_runtime': 728.1235699653625, '_timestamp': 1661726678.206219, 'train_acc': 0.8, 'train_loss': 0.4804, 'final_test_err': 0.35, '_step': 1010, 'epoch': 100, 'avg_err': 0.3798, 'run_num': 9, 'std_err': 0.0397}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 3, 'target': 1, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",ecegy3c0
