,m_n,m,avg_error,std_error,task,target,ood,summary,config,name
0,0,0,0.5801,0.0194,0,P,A,"{'m': 0, '_step': 1020, 'run_num': 9, '_timestamp': 1663542860.1041586, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 929}, 'avg_err': 0.5801, 'std_err': 0.0194, '_runtime': 929.8777747154236, 'train_acc': 1, 'train_loss': 0.0027, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3s74loan
1,1,30,0.5752,0.0349,0,P,A,"{'epoch': 100, '_wandb': {'runtime': 1373}, 'avg_err': 0.5752, 'run_num': 9, 'std_err': 0.0349, '_runtime': 1374.126472234726, 'm': 30, 'n': 30, 'train_acc': 0.9833, 'final_test_err': 0.5349887133182845, 'train_loss': 0.0553, '_step': 1020, '_timestamp': 1663543304.4253392}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",mhef6m7d
2,2,60,0.5535,0.0326,0,P,A,"{'_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1842}, 'avg_err': 0.5535, 'std_err': 0.0326, 'train_acc': 1, 'm': 60, 'n': 30, 'run_num': 9, '_runtime': 1843.1438927650452, '_timestamp': 1663543773.3574288, 'train_loss': 0.0035, 'final_test_err': 0.5372460496613995}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3f9x9oq5
3,3,90,0.554,0.0328,0,P,A,"{'avg_err': 0.554, '_runtime': 2328.926657676697, 'train_acc': 1, '_timestamp': 1663544259.1494756, '_wandb': {'runtime': 2328}, 'run_num': 9, 'std_err': 0.0328, 'train_loss': 0.0026, 'm': 90, 'n': 30, '_step': 1020, 'epoch': 100, 'final_test_err': 0.562076749435666}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2xbsknmu
4,4,120,0.5677,0.0276,0,P,A,"{'_wandb': {'runtime': 2808}, 'avg_err': 0.5677, 'run_num': 9, 'std_err': 0.0276, 'train_acc': 1, 'm': 120, '_step': 1020, 'epoch': 100, '_timestamp': 1663544739.3935206, 'final_test_err': 0.5733634311512416, 'n': 30, '_runtime': 2809.1707906723022, 'train_loss': 0.0059}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",u2dlwm9f
5,5,150,0.5639,0.0259,0,P,A,"{'train_acc': 1, 'std_err': 0.0259, '_runtime': 3240.4200053215027, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3239}, 'avg_err': 0.5639, 'run_num': 9, '_timestamp': 1663545170.6474433, 'm': 150, 'n': 30, 'train_loss': 0.0115, 'final_test_err': 0.5553047404063205}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3mpp7gfn
6,6,180,0.5623,0.0255,0,P,A,"{'m': 180, '_step': 1020, '_wandb': {'runtime': 3729}, 'avg_err': 0.5623, 'std_err': 0.0255, 'train_loss': 0.0105, 'n': 30, 'epoch': 100, 'run_num': 9, '_runtime': 3729.552555799484, 'train_acc': 1, '_timestamp': 1663545659.778206, 'final_test_err': 0.5304740406320542}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2gazn4j2
7,7,210,0.5562,0.0166,0,P,A,"{'m': 210, '_step': 1020, 'epoch': 100, 'std_err': 0.0166, '_runtime': 4003.54239821434, 'final_test_err': 0.5507900677200903, 'n': 30, '_wandb': {'runtime': 4003}, 'avg_err': 0.5562, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663545933.767172, 'train_loss': 0.0016}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2fecvtpw
8,8,240,0.5553,0.0157,0,P,A,"{'avg_err': 0.5553, 'run_num': 9, 'train_acc': 1, 'train_loss': 0.0009, 'final_test_err': 0.5688487584650113, 'n': 30, '_wandb': {'runtime': 4457}, 'epoch': 100, 'std_err': 0.0157, '_runtime': 4458.032444000244, '_timestamp': 1663546388.260986, 'm': 240, '_step': 1020}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2u1fp0vh
9,9,270,0.5549,0.0166,0,P,A,"{'_step': 1020, 'epoch': 100, '_wandb': {'runtime': 4933}, 'train_acc': 1, '_timestamp': 1663546863.751983, 'final_test_err': 0.5665914221218962, 'm': 270, 'avg_err': 0.5549, 'run_num': 9, 'std_err': 0.0166, '_runtime': 4933.533407926559, 'train_loss': 0.0011, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",wundajyl
