,target,ood,m_n,avg_error,std_error,device,summary,config,name
0,1,4,20.0,0.3874,0.0137,cuda:2,"{'run_num': 9, '_runtime': 2077.752963066101, 'train_acc': 0.9995, '_timestamp': 1667998722.612168, 'n': 100, '_step': 1020, '_wandb': {'runtime': 2076}, 'avg_err': 0.3874, 'train_loss': 0.0041, 'm': 2000, 'epoch': 100, 'std_err': 0.0137, 'final_test_err': 0.384}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2xo6txoe
1,1,4,1.0,0.3555,0.0247,cuda:2,"{'_wandb': {'runtime': 1171}, 'avg_err': 0.3555, 'run_num': 9, 'std_err': 0.0247, '_timestamp': 1667996881.0015428, '_step': 1020, 'epoch': 100, '_runtime': 1172.4351608753204, 'train_acc': 1, 'train_loss': 0.012, 'final_test_err': 0.34950000000000003, 'm': 100, 'n': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1nll5mw9
2,1,4,2.0,0.356,0.0165,cuda:2,"{'_step': 1020, 'epoch': 100, 'run_num': 9, '_runtime': 1235.2031886577606, '_timestamp': 1667996939.9803827, 'm': 200, 'n': 100, 'std_err': 0.0165, 'train_acc': 1, 'train_loss': 0.006, 'final_test_err': 0.356, '_wandb': {'runtime': 1234}, 'avg_err': 0.356}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",13wfhn9i
3,1,4,0.25,0.3515,0.0221,cuda:2,"{'_timestamp': 1667996716.7613995, 'n': 100, '_step': 1020, '_wandb': {'runtime': 1011}, 'run_num': 9, 'std_err': 0.0221, '_runtime': 1012.8975517749786, 'train_acc': 0.9919, 'train_loss': 0.0365, 'm': 24, 'epoch': 100, 'avg_err': 0.3515, 'final_test_err': 0.31699999999999995}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0.25, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",rckc5n4u
4,1,4,5.0,0.3744,0.0176,cuda:2,"{'m': 500, 'n': 100, 'epoch': 100, '_wandb': {'runtime': 1510}, 'avg_err': 0.3744, 'run_num': 9, 'std_err': 0.0176, 'train_acc': 0.9983, '_step': 1020, '_runtime': 1512.2595427036283, '_timestamp': 1667997216.0922966, 'train_loss': 0.0091, 'final_test_err': 0.37549999999999994}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",7h3yuvvk
5,1,4,10.0,0.3754,0.0123,cuda:2,"{'train_loss': 0.0059, '_wandb': {'runtime': 1908}, 'avg_err': 0.3754, 'std_err': 0.0123, '_runtime': 1909.1247460842133, 'run_num': 9, 'train_acc': 0.9982, '_timestamp': 1667997612.9902122, 'final_test_err': 0.3635000000000001, 'm': 1000, 'n': 100, '_step': 1020, 'epoch': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2ofwkgw6
6,1,4,0.5,0.3545,0.0268,cuda:2,"{'run_num': 9, 'std_err': 0.0268, '_runtime': 933.4388842582704, '_timestamp': 1667996637.3340874, 'train_loss': 0.0069, 'n': 100, '_step': 1020, '_wandb': {'runtime': 932}, 'train_acc': 1, 'final_test_err': 0.3345, 'm': 50, 'epoch': 100, 'avg_err': 0.3545}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0.5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",286fg1tt
7,1,4,0.75,0.3488,0.0239,cuda:2,"{'train_acc': 1, '_timestamp': 1667996779.088482, 'm': 74, 'n': 100, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1073}, '_runtime': 1075.167403936386, 'final_test_err': 0.3255, 'avg_err': 0.3488, 'run_num': 9, 'std_err': 0.0239, 'train_loss': 0.0063}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0.75, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",28594mz7
8,1,4,4.0,0.3672,0.0197,cuda:2,"{'_runtime': 1433.1842663288116, 'm': 400, 'n': 100, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1432}, 'run_num': 9, 'std_err': 0.0197, '_timestamp': 1667997137.0448732, 'train_loss': 0.0044, 'final_test_err': 0.37649999999999995, 'avg_err': 0.3672, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",27lnxd9o
9,1,4,3.0,0.3541,0.0179,cuda:2,"{'n': 100, 'std_err': 0.0179, 'train_acc': 1, '_runtime': 1208.047878742218, '_timestamp': 1667996911.9422188, 'm': 300, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1206}, 'avg_err': 0.3541, 'run_num': 9, 'train_loss': 0.0019, 'final_test_err': 0.37250000000000005}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n100', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1lgeey9k
