,target,ood,m_n,avg_error,std_error,device,summary,config,name
0,1,4,10.0,0.361,0.0063,cuda:1,"{'train_acc': 0.9977, '_timestamp': 1667998914.338228, 'train_loss': 0.006, 'final_test_err': 0.3635000000000001, '_step': 1020, '_wandb': {'runtime': 2084}, '_runtime': 2084.8873240947723, 'avg_err': 0.361, 'run_num': 9, 'std_err': 0.0063, 'm': 2000, 'n': 200, 'epoch': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 10, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1cb4e1uh
1,1,4,5.0,0.3523,0.0121,cuda:1,"{'std_err': 0.0121, 'm': 1000, 'n': 200, 'epoch': 100, 'run_num': 9, 'train_acc': 0.9992, '_timestamp': 1667997809.23369, 'train_loss': 0.0049, 'final_test_err': 0.37150000000000005, '_step': 1020, '_wandb': {'runtime': 2051}, 'avg_err': 0.3523, '_runtime': 2052.0305359363556}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",xlkbd6zp
2,1,4,0.0,0.3326,0.0137,cuda:1,"{'n': 200, '_step': 1020, 'epoch': 100, 'run_num': 9, '_runtime': 1250.217094182968, 'train_loss': 0.0075, 'final_test_err': 0.3335, 'm': 0, '_wandb': {'runtime': 1249}, 'avg_err': 0.3326, 'std_err': 0.0137, 'train_acc': 1, '_timestamp': 1667997007.0002131}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 0, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",onxrjy3v
3,1,4,1.0,0.335,0.0142,cuda:1,"{'_timestamp': 1667997195.2800212, '_step': 1020, '_wandb': {'runtime': 1437}, '_runtime': 1438.5051202774048, 'avg_err': 0.335, 'run_num': 9, 'std_err': 0.0142, 'train_acc': 1, 'train_loss': 0.0052, 'm': 200, 'n': 200, 'epoch': 100, 'final_test_err': 0.3235}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 1, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",ddjm71af
4,1,4,2.5,0.3416,0.0091,cuda:1,"{'_wandb': {'runtime': 1681}, 'run_num': 9, 'std_err': 0.0091, 'm': 500, '_step': 1020, 'epoch': 100, 'train_acc': 0.9986, '_timestamp': 1667997439.2114966, 'train_loss': 0.0089, 'final_test_err': 0.35550000000000004, 'n': 200, 'avg_err': 0.3416, '_runtime': 1682.0482954978943}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 2.5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2dtkjhsj
5,1,4,2.0,0.3427,0.0124,cuda:1,"{'final_test_err': 0.3645000000000001, 'n': 200, 'epoch': 100, '_wandb': {'runtime': 1433}, 'avg_err': 0.3427, 'run_num': 9, 'train_acc': 1, 'm': 400, '_step': 1020, 'std_err': 0.0124, '_runtime': 1434.2688612937927, '_timestamp': 1667997190.9968734, 'train_loss': 0.0044}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 2, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1fc7be6l
6,1,4,0.5,0.3268,0.0186,cuda:1,"{'train_acc': 1, '_step': 1020, 'run_num': 9, 'epoch': 100, '_wandb': {'runtime': 1157}, 'avg_err': 0.3268, 'std_err': 0.0186, '_runtime': 1158.2976770401, '_timestamp': 1667996913.939486, 'm': 100, 'n': 200, 'train_loss': 0.0156, 'final_test_err': 0.31100000000000005}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 0.5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",5apmyad8
7,1,4,0.375,0.3398,0.0144,cuda:1,"{'avg_err': 0.3398, '_runtime': 1150.8249940872192, '_timestamp': 1667996906.279885, 'train_loss': 0.0238, 'final_test_err': 0.33199999999999996, 'm': 74, 'n': 200, '_wandb': {'runtime': 1149}, 'std_err': 0.0144, 'train_acc': 1, '_step': 1020, 'epoch': 100, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 0.375, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1dooie6g
8,1,4,1.5,0.3448,0.013,cuda:1,"{'epoch': 100, '_wandb': {'runtime': 1364}, 'run_num': 9, 'std_err': 0.013, '_timestamp': 1667997121.1313815, 'm': 300, 'n': 200, '_runtime': 1365.6897625923157, 'train_acc': 1, 'train_loss': 0.0045, 'final_test_err': 0.34850000000000003, '_step': 1020, 'avg_err': 0.3448}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 1.5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1phk2k69
9,1,4,0.125,0.3305,0.0184,cuda:1,"{'std_err': 0.0184, '_runtime': 1068.4053282737732, 'train_acc': 1, 'final_test_err': 0.32899999999999996, 'epoch': 100, '_wandb': {'runtime': 1067}, 'run_num': 9, 'avg_err': 0.3305, '_timestamp': 1667996823.8724754, 'train_loss': 0.0113, 'm': 24, 'n': 200, '_step': 1020}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n200', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 100, 'm_n': 0.125, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1ga5hqio
