,target,ood,m_n,avg_error,std_error,summary,config,name
0,P,S,0,0.5801,0.0194,"{'alpha': 1, '_runtime': 766.9555840492249, 'train_acc': 1, '_timestamp': 1664025119.349822, 'm': 0, 'n': 30, '_step': 1021, '_wandb': {'runtime': 766}, 'epoch': 100, 'run_num': 9, 'std_err': 0.0194, 'avg_err': 0.5801, 'train_loss': 0.0027, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",cnanw3i8
1,P,S,10,0.5657,0.0203,"{'n': 30, '_step': 1021, 'avg_err': 0.5657, '_runtime': 1861.857505321503, 'alpha': 0.9194619439691224, '_wandb': {'runtime': 1861}, 'run_num': 9, '_timestamp': 1664026214.5008714, 'train_loss': 0.0641, 'std_err': 0.0203, 'final_test_err': 0.5530474040632054, 'm': 300, 'epoch': 100, 'train_acc': 0.8944}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3df6gubh
2,P,S,1,0.57,0.0144,"{'avg_err': 0.57, 'train_loss': 0.077, 'alpha': 0.5750000000000001, 'epoch': 100, 'run_num': 9, 'n': 30, '_runtime': 873.1734743118286, '_timestamp': 1664025225.5780964, 'std_err': 0.0144, '_step': 1021, '_wandb': {'runtime': 872}, 'train_acc': 1, 'final_test_err': 0.5395033860045146, 'm': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2jn0bk3t
3,P,S,4,0.5659,0.0145,"{'avg_err': 0.5659, 'std_err': 0.0145, 'train_acc': 0.9524, 'final_test_err': 0.5395033860045146, 'alpha': 0.7813967050590465, 'epoch': 100, '_runtime': 1388.816253900528, 'train_loss': 0.0998, 'n': 30, '_step': 1021, '_wandb': {'runtime': 1388}, 'run_num': 9, '_timestamp': 1664025741.408069, 'm': 120}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",25axzeu3
4,P,S,2,0.5612,0.0267,"{'alpha': 0.6868421052631579, '_timestamp': 1664025424.7502573, 'final_test_err': 0.5259593679458239, 'm': 60, '_wandb': {'runtime': 1071}, 'run_num': 9, 'train_loss': 0.0736, 'n': 30, '_step': 1021, 'train_acc': 0.9865, 'epoch': 100, 'avg_err': 0.5612, 'std_err': 0.0267, '_runtime': 1072.331273317337}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1tnklffo
5,P,S,5,0.5587,0.0183,"{'m': 150, 'alpha': 0.9194619439691224, 'avg_err': 0.5587, 'run_num': 9, 'train_acc': 0.8861, '_timestamp': 1664025834.4531012, '_step': 1021, 'std_err': 0.0183, '_runtime': 1482.0180542469025, 'train_loss': 0.0752, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 1481}, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1k9isa0f
6,P,S,3,0.5634,0.0199,"{'n': 30, 'avg_err': 0.5634, '_runtime': 1247.2707607746124, 'train_loss': 0.1065, 'alpha': 0.7033240997229917, '_wandb': {'runtime': 1246}, 'train_acc': 0.98, '_timestamp': 1664025599.5760317, 'm': 90, '_step': 1021, 'epoch': 100, 'run_num': 9, 'std_err': 0.0199, 'final_test_err': 0.5304740406320542}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_opt2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/pacs2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1dyjjxkq
