,target,ood,m_n,avg_error,std_error,summary,config,name
0,P,S,10,0.5562,0.024,"{'run_num': 9, 'std_err': 0.024, '_runtime': 2432.320347070694, 'train_acc': 1, 'final_test_err': 0.5079006772009029, 'avg_err': 0.5562, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 2431}, '_timestamp': 1663835185.955959, 'train_loss': 0.0185, 'm': 300}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'm_n_list': [1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",38to4rhq
1,P,S,6,0.5619,0.0218,"{'_step': 1020, 'epoch': 100, 'avg_err': 0.5619, 'train_loss': 0.0651, '_runtime': 2680.469475507736, 'train_acc': 0.9946, '_timestamp': 1663834461.3156023, 'm': 180, 'n': 30, '_wandb': {'runtime': 2680}, 'run_num': 9, 'std_err': 0.0218, 'final_test_err': 0.5169300225733635}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",9nqvqkm2
2,P,S,4,0.5673,0.0172,"{'epoch': 100, '_wandb': {'runtime': 2171}, 'run_num': 9, 'std_err': 0.0172, 'train_acc': 1, 'm': 120, 'n': 30, '_step': 1020, 'avg_err': 0.5673, '_runtime': 2172.356523036957, '_timestamp': 1663833952.65897, 'train_loss': 0.0233, 'final_test_err': 0.5372460496613995}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",blak1ipi
3,P,S,9,0.5725,0.0177,"{'_step': 1020, 'avg_err': 0.5725, 'std_err': 0.0177, '_runtime': 3070.2655918598175, '_timestamp': 1663834850.573871, 'train_loss': 0.0507, 'm': 270, 'n': 30, 'final_test_err': 0.5598194130925508, 'run_num': 9, 'train_acc': 0.996, 'epoch': 100, '_wandb': {'runtime': 3069}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",8ti8rs02
4,P,S,2,0.5716,0.0147,"{'avg_err': 0.5716, 'train_loss': 0.092, '_wandb': {'runtime': 1520}, 'run_num': 9, 'std_err': 0.0147, '_runtime': 1521.331832408905, 'm': 60, 'n': 30, '_step': 1020, 'epoch': 100, 'train_acc': 0.9865, '_timestamp': 1663833301.2975297, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",3jfy87m6
5,P,S,5,0.5707,0.0307,"{'_wandb': {'runtime': 2453}, 'run_num': 9, '_runtime': 2453.901662826538, 'train_loss': 0.0445, 'final_test_err': 0.5327313769751694, 'std_err': 0.0307, 'train_acc': 0.9937, '_timestamp': 1663834234.20917, 'm': 150, 'n': 30, '_step': 1020, 'epoch': 100, 'avg_err': 0.5707}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",3ik4gl2f
6,P,S,8,0.563,0.0113,"{'_timestamp': 1663834719.0919564, 'm': 240, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 2937}, 'run_num': 9, '_runtime': 2938.369838476181, 'train_acc': 0.9956, 'final_test_err': 0.5440180586907449, '_step': 1020, 'avg_err': 0.563, 'std_err': 0.0113, 'train_loss': 0.0451}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",3d9t7mkd
7,P,S,0,0.5831,0.0105,"{'n': 30, 'run_num': 9, '_runtime': 966.9240953922272, '_timestamp': 1663832747.2631454, 'train_loss': 0.0075, 'final_test_err': 0.5643340857787811, 'm': 0, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 966}, 'avg_err': 0.5831, 'std_err': 0.0105, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",2zrmshoa
8,P,S,7,0.5668,0.0245,"{'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 2867}, '_runtime': 2867.839604616165, 'train_loss': 0.0618, 'm': 210, 'avg_err': 0.5668, 'run_num': 9, 'std_err': 0.0245, 'train_acc': 0.9905, '_timestamp': 1663834648.5534427, 'final_test_err': 0.5349887133182845}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",1l4fvctx
9,P,S,1,0.5684,0.0132,"{'avg_err': 0.5684, '_runtime': 1147.2002534866333, 'train_loss': 0.0703, 'final_test_err': 0.5507900677200903, '_wandb': {'runtime': 1146}, 'n': 30, '_step': 1020, 'epoch': 100, 'run_num': 9, 'std_err': 0.0132, 'train_acc': 1, '_timestamp': 1663832927.5402725, 'm': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'ptw': False, 'tag': '16_task_aware/pacs_naive', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'is_multihead': False, 'eval_at_epoch': False}",1gcyolj0
