,target,ood,m_n,avg_error,std_error,device,summary,config,name
0,2,1,5,0.2856,0.0205,cuda:1,"{'m': 500, '_step': 1021, 'std_err': 0.0205, 'train_acc': 0.8608, 'final_test_err': 0.28500000000000003, 'epoch': 100, '_wandb': {'runtime': 688}, 'n': 100, 'avg_err': 0.2856, '_runtime': 688.6657018661499, '_timestamp': 1664031233.6360998, 'train_loss': 0.1159, 'alpha': 0.999834255415474, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",xaxzrbcd
1,2,1,20,0.2914,0.0244,cuda:1,"{'n': 100, '_step': 1021, 'run_num': 9, '_runtime': 879.8281784057617, 'train_loss': 0.001, '_timestamp': 1664031425.0952194, 'final_test_err': 0.3245, 'm': 2000, 'alpha': 0.9999531691201616, 'epoch': 100, 'std_err': 0.0244, 'train_acc': 0.8453, '_wandb': {'runtime': 879}, 'avg_err': 0.2914}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",ujk5uity
2,2,1,3,0.2868,0.0211,cuda:1,"{'_timestamp': 1664031086.0473998, 'train_loss': 0.2303, '_wandb': {'runtime': 540}, 'epoch': 100, 'std_err': 0.0211, '_runtime': 540.8888177871704, 'train_acc': 0.8167, 'm': 300, 'run_num': 9, 'final_test_err': 0.2815, 'alpha': 0.9997783933518004, '_step': 1021, 'avg_err': 0.2868, 'n': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3jkc80a0
3,2,1,2,0.2795,0.0222,cuda:1,"{'n': 100, 'run_num': 9, '_step': 1021, 'epoch': 100, 'std_err': 0.0222, '_runtime': 551.5563244819641, 'train_acc': 0.7927, 'final_test_err': 0.28, 'm': 200, 'alpha': 0.9978947368421052, 'avg_err': 0.2795, '_timestamp': 1664031096.7764435, 'train_loss': 0.4765, '_wandb': {'runtime': 551}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3j4ueiwt
4,2,1,4,0.2847,0.025,cuda:1,"{'n': 100, '_wandb': {'runtime': 545}, 'std_err': 0.025, 'run_num': 9, 'final_test_err': 0.264, '_step': 1021, '_runtime': 545.6165466308594, 'train_acc': 0.8152, 'train_loss': 0.3202, 'm': 400, 'alpha': 0.9997900568596004, 'epoch': 100, 'avg_err': 0.2847, '_timestamp': 1664031090.8256016}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2nueskf3
5,2,1,10,0.2909,0.0276,cuda:1,"{'_timestamp': 1664031304.57182, 'train_loss': 0.0096, '_wandb': {'runtime': 759}, 'epoch': 100, 'std_err': 0.0276, 'final_test_err': 0.32599999999999996, '_step': 1021, 'n': 100, 'alpha': 0.9999476596048864, 'avg_err': 0.2909, 'train_acc': 0.8766, 'm': 1000, '_runtime': 759.5458669662476, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1rm7j7c7
6,2,1,0,0.3014,0.0192,cuda:1,"{'run_num': 9, 'train_acc': 0.76, 'train_loss': 0.5536, 'final_test_err': 0.3125, 'alpha': 1, '_wandb': {'runtime': 485}, 'avg_err': 0.3014, '_timestamp': 1664031031.1306574, 'std_err': 0.0192, '_runtime': 485.9455304145813, 'm': 0, '_step': 1021, 'n': 100, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1q14uwcp
7,2,1,1,0.3016,0.0163,cuda:1,"{'train_acc': 0.75, '_timestamp': 1664031045.350386, 'final_test_err': 0.3085, '_step': 1021, 'epoch': 100, '_runtime': 500.02593088150024, 'alpha': 0.98, '_wandb': {'runtime': 499}, 'std_err': 0.0163, 'n': 100, 'run_num': 9, 'train_loss': 0.5067, 'm': 100, 'avg_err': 0.3016}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [1], 'beta': 0.75, 'target': 2, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1am1obi2
8,0,4,3,0.1962,0.0134,cuda:1,"{'n': 100, 'train_acc': 0.85, '_timestamp': 1664030169.8145735, '_wandb': {'runtime': 545}, 'final_test_err': 0.2045, '_step': 1021, 'alpha': 0.9835180055401662, 'std_err': 0.0134, 'train_loss': 0.0764, '_runtime': 546.0980224609375, 'm': 300, 'epoch': 100, 'avg_err': 0.1962, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [4], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",4ko2rir9
9,0,4,5,0.2049,0.0177,cuda:1,"{'run_num': 9, 'm': 500, 'std_err': 0.0177, '_wandb': {'runtime': 698}, '_timestamp': 1664030322.410184, 'final_test_err': 0.21099999999999997, 'n': 100, 'alpha': 0.9986303051695428, 'epoch': 100, 'train_acc': 0.8861, 'train_loss': 0.0284, '_step': 1021, 'avg_err': 0.2049, '_runtime': 698.8577301502228}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '16_task_aware/cifar10/opt', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': True, 'tune_alpha_tag': '17_tune/cifar10/wrn10-2', 'group_task_loss': True}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [4], 'beta': 0.75, 'target': 0, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': True}, 'deploy': True, 'device': 'cuda:1', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",s9btkrob
